date,gross
2004-01-04,100
2004-01-11,72
2004-01-18,75
2004-01-25,70
2004-02-01,67
2004-02-08,87
2004-02-15,76
2004-02-22,74
2004-02-29,89
2004-03-07,64
2004-03-14,77
2004-03-21,74
2004-03-28,75
2004-04-04,81
2004-04-11,70
2004-04-18,74
2004-04-25,64
2004-05-02,70
2004-05-09,74
2004-05-16,63
2004-05-23,72
2004-05-30,61
2004-06-06,60
2004-06-13,60
2004-06-20,57
2004-06-27,75
2004-07-04,63
2004-07-11,66
2004-07-18,63
2004-07-25,76
2004-08-01,61
2004-08-08,69
2004-08-15,65
2004-08-22,74
2004-08-29,65
2004-09-05,70
2004-09-12,69
2004-09-19,72
2004-09-26,78
2004-10-03,81
2004-10-10,70
2004-10-17,64
2004-10-24,71
2004-10-31,68
2004-11-07,76
2004-11-14,65
2004-11-21,50
2004-11-28,66
2004-12-05,74
2004-12-12,66
2004-12-19,59
2004-12-26,78
2005-01-02,81
2005-01-09,79
2005-01-16,73
2005-01-23,87
2005-01-30,59
2005-02-06,76
2005-02-13,69
2005-02-20,63
2005-02-27,85
2005-03-06,59
2005-03-13,62
2005-03-20,91
2005-03-27,80
2005-04-03,96
2005-04-10,89
2005-04-17,64
2005-04-24,82
2005-05-01,54
2005-05-08,76
2005-05-15,86
2005-05-22,97
2005-05-29,100
2005-06-05,77
2005-06-12,68
2005-06-19,66
2005-06-26,72
2005-07-03,74
2005-07-10,71
2005-07-17,65
2005-07-24,73
2005-07-31,61
2005-08-07,66
2005-08-14,77
2005-08-21,61
2005-08-28,76
2005-09-04,64
2005-09-11,75
2005-09-18,72
2005-09-25,74
2005-10-02,82
2005-10-09,82
2005-10-16,76
2005-10-23,84
2005-10-30,75
2005-11-06,71
2005-11-13,87
2005-11-20,70
2005-11-27,77
2005-12-04,84
2005-12-11,80
2005-12-18,64
2005-12-25,75
2006-01-01,84
2006-01-08,78
2006-01-15,94
2006-01-22,84
2006-01-29,84
2006-02-05,87
2006-02-12,84
2006-02-19,80
2006-02-26,90
2006-03-05,77
2006-03-12,79
2006-03-19,77
2006-03-26,86
2006-04-02,83
2006-04-09,84
2006-04-16,79
2006-04-23,91
2006-04-30,100
2006-05-07,78
2006-05-14,81
2006-05-21,77
2006-05-28,72
2006-06-04,75
2006-06-11,75
2006-06-18,66
2006-06-25,66
2006-07-02,66
2006-07-09,76
2006-07-16,78
2006-07-23,83
2006-07-30,75
2006-08-06,70
2006-08-13,63
2006-08-20,74
2006-08-27,64
2006-09-03,65
2006-09-10,75
2006-09-17,83
2006-09-24,77
2006-10-01,75
2006-10-08,76
2006-10-15,82
2006-10-22,83
2006-10-29,79
2006-11-05,78
2006-11-12,82
2006-11-19,62
2006-11-26,74
2006-12-03,79
2006-12-10,76
2006-12-17,76
2006-12-24,59
2006-12-31,69
2007-01-07,93
2007-01-14,80
2007-01-21,92
2007-01-28,88
2007-02-04,98
2007-02-11,93
2007-02-18,99
2007-02-25,94
2007-03-04,83
2007-03-11,97
2007-03-18,95
2007-03-25,100
2007-04-01,91
2007-04-08,90
2007-04-15,93
2007-04-22,91
2007-04-29,100
2007-05-06,96
2007-05-13,97
2007-05-20,94
2007-05-27,81
2007-06-03,94
2007-06-10,80
2007-06-17,84
2007-06-24,91
2007-07-01,89
2007-07-08,98
2007-07-15,95
2007-07-22,92
2007-07-29,91
2007-08-05,80
2007-08-12,79
2007-08-19,82
2007-08-26,79
2007-09-02,94
2007-09-09,84
2007-09-16,83
2007-09-23,89
2007-09-30,92
2007-10-07,87
2007-10-14,94
2007-10-21,99
2007-10-28,96
2007-11-04,93
2007-11-11,91
2007-11-18,77
2007-11-25,84
2007-12-02,89
2007-12-09,89
2007-12-16,80
2007-12-23,69
2007-12-30,85
2008-01-06,78
2008-01-13,86
2008-01-20,92
2008-01-27,99
2008-02-03,98
2008-02-10,85
2008-02-17,93
2008-02-24,96
2008-03-02,93
2008-03-09,81
2008-03-16,85
2008-03-23,94
2008-03-30,86
2008-04-06,88
2008-04-13,100
2008-04-20,86
2008-04-27,86
2008-05-04,85
2008-05-11,81
2008-05-18,75
2008-05-25,74
2008-06-01,81
2008-06-08,79
2008-06-15,75
2008-06-22,70
2008-06-29,78
2008-07-06,81
2008-07-13,86
2008-07-20,98
2008-07-27,88
2008-08-03,91
2008-08-10,78
2008-08-17,75
2008-08-24,80
2008-08-31,81
2008-09-07,77
2008-09-14,84
2008-09-21,89
2008-09-28,91
2008-10-05,91
2008-10-12,91
2008-10-19,94
2008-10-26,90
2008-11-02,82
2008-11-09,87
2008-11-16,82
2008-11-23,76
2008-11-30,100
2008-12-07,94
2008-12-14,82
2008-12-21,63
2008-12-28,77
2009-01-04,81
2009-01-11,77
2009-01-18,76
2009-01-25,95
2009-02-01,100
2009-02-08,94
2009-02-15,87
2009-02-22,91
2009-03-01,94
2009-03-08,89
2009-03-15,79
2009-03-22,86
2009-03-29,79
2009-04-05,84
2009-04-12,91
2009-04-19,82
2009-04-26,81
2009-05-03,89
2009-05-10,81
2009-05-17,74
2009-05-24,71
2009-05-31,74
2009-06-07,74
2009-06-14,74
2009-06-21,81
2009-06-28,72
2009-07-05,74
2009-07-12,78
2009-07-19,75
2009-07-26,80
2009-08-02,72
2009-08-09,70
2009-08-16,70
2009-08-23,73
2009-08-30,71
2009-09-06,77
2009-09-13,75
2009-09-20,79
2009-09-27,91
2009-10-04,89
2009-10-11,86
2009-10-18,90
2009-10-25,93
2009-11-01,81
2009-11-08,87
2009-11-15,90
2009-11-22,73
2009-11-29,82
2009-12-06,84
2009-12-13,79
2009-12-20,67
2009-12-27,88
2010-01-03,81
2010-01-10,87
2010-01-17,91
2010-01-24,95
2010-01-31,90
2010-02-07,84
2010-02-14,87
2010-02-21,91
2010-02-28,89
2010-03-07,95
2010-03-14,85
2010-03-21,89
2010-03-28,87
2010-04-04,85
2010-04-11,100
2010-04-18,79
2010-04-25,78
2010-05-02,81
2010-05-09,75
2010-05-16,72
2010-05-23,74
2010-05-30,71
2010-06-06,73
2010-06-13,67
2010-06-20,65
2010-06-27,75
2010-07-04,67
2010-07-11,68
2010-07-18,73
2010-07-25,69
2010-08-01,73
2010-08-08,62
2010-08-15,63
2010-08-22,65
2010-08-29,72
2010-09-05,71
2010-09-12,79
2010-09-19,74
2010-09-26,76
2010-10-03,81
2010-10-10,79
2010-10-17,82
2010-10-24,82
2010-10-31,76
2010-11-07,75
2010-11-14,83
2010-11-21,62
2010-11-28,75
2010-12-05,75
2010-12-12,73
2010-12-19,59
2010-12-26,58
2011-01-02,85
2011-01-09,87
2011-01-16,82
2011-01-23,95
2011-01-30,94
2011-02-06,96
2011-02-13,88
2011-02-20,94
2011-02-27,99
2011-03-06,94
2011-03-13,90
2011-03-20,88
2011-03-27,89
2011-04-03,94
2011-04-10,100
2011-04-17,93
2011-04-24,84
2011-05-01,80
2011-05-08,87
2011-05-15,85
2011-05-22,81
2011-05-29,76
2011-06-05,85
2011-06-12,87
2011-06-19,74
2011-06-26,83
2011-07-03,74
2011-07-10,83
2011-07-17,84
2011-07-24,89
2011-07-31,82
2011-08-07,76
2011-08-14,73
2011-08-21,72
2011-08-28,76
2011-09-04,75
2011-09-11,82
2011-09-18,85
2011-09-25,84
2011-10-02,86
2011-10-09,87
2011-10-16,91
2011-10-23,98
2011-10-30,90
2011-11-06,93
2011-11-13,84
2011-11-20,75
2011-11-27,85
2011-12-04,87
2011-12-11,85
2011-12-18,71
2011-12-25,67
2012-01-01,73
2012-01-08,82
2012-01-15,84
2012-01-22,100
2012-01-29,97
2012-02-05,89
2012-02-12,86
2012-02-19,89
2012-02-26,96
2012-03-04,86
2012-03-11,86
2012-03-18,85
2012-03-25,91
2012-04-01,86
2012-04-08,88
2012-04-15,87
2012-04-22,83
2012-04-29,77
2012-05-06,100
2012-05-13,87
2012-05-20,72
2012-05-27,77
2012-06-03,79
2012-06-10,77
2012-06-17,76
2012-06-24,77
2012-07-01,68
2012-07-08,80
2012-07-15,84
2012-07-22,92
2012-07-29,82
2012-08-05,78
2012-08-12,75
2012-08-19,81
2012-08-26,80
2012-09-02,75
2012-09-09,77
2012-09-16,83
2012-09-23,85
2012-09-30,93
2012-10-07,84
2012-10-14,89
2012-10-21,83
2012-10-28,77
2012-11-04,80
2012-11-11,84
2012-11-18,69
2012-11-25,80
2012-12-02,87
2012-12-09,82
2012-12-16,68
2012-12-23,57
2012-12-30,76
2013-01-06,86
2013-01-13,84
2013-01-20,87
2013-01-27,95
2013-02-03,97
2013-02-10,91
2013-02-17,88
2013-02-24,95
2013-03-03,93
2013-03-10,88
2013-03-17,84
2013-03-24,93
2013-03-31,97
2013-04-07,100
2013-04-14,95
2013-04-21,87
2013-04-28,86
2013-05-05,85
2013-05-12,85
2013-05-19,77
2013-05-26,78
2013-06-02,77
2013-06-09,76
2013-06-16,83
2013-06-23,76
2013-06-30,74
2013-07-07,82
2013-07-14,85
2013-07-21,96
2013-07-28,84
2013-08-04,77
2013-08-11,76
2013-08-18,76
2013-08-25,81
2013-09-01,80
2013-09-08,80
2013-09-15,84
2013-09-22,84
2013-09-29,91
2013-10-06,90
2013-10-13,93
2013-10-20,91
2013-10-27,94
2013-11-03,89
2013-11-10,84
2013-11-17,89
2013-11-24,68
2013-12-01,88
2013-12-08,90
2013-12-15,82
2013-12-22,63
2013-12-29,71
2014-01-05,73
2014-01-12,81
2014-01-19,82
2014-01-26,86
2014-02-02,86
2014-02-09,81
2014-02-16,80
2014-02-23,90
2014-03-02,86
2014-03-09,83
2014-03-16,79
2014-03-23,83
2014-03-30,84
2014-04-06,89
2014-04-13,83
2014-04-20,80
2014-04-27,77
2014-05-04,79
2014-05-11,73
2014-05-18,71
2014-05-25,72
2014-06-01,73
2014-06-08,76
2014-06-15,75
2014-06-22,85
2014-06-29,71
2014-07-06,75
2014-07-13,74
2014-07-20,72
2014-07-27,77
2014-08-03,78
2014-08-10,71
2014-08-17,70
2014-08-24,68
2014-08-31,69
2014-09-07,76
2014-09-14,75
2014-09-21,100
2014-09-28,97
2014-10-05,86
2014-10-12,83
2014-10-19,85
2014-10-26,82
2014-11-02,85
2014-11-09,78
2014-11-16,81
2014-11-23,65
2014-11-30,79
2014-12-07,78
2014-12-14,97
2014-12-21,62
2014-12-28,65
2015-01-04,78
2015-01-11,72
2015-01-18,100
2015-01-25,90
2015-02-01,84
2015-02-08,82
2015-02-15,78
2015-02-22,84
2015-03-01,79
2015-03-08,82
2015-03-15,77
2015-03-22,77
2015-03-29,78
2015-04-05,81
2015-04-12,84
2015-04-19,75
2015-04-26,79
2015-05-03,76
2015-05-10,74
2015-05-17,83
2015-05-24,78
2015-05-31,71
2015-06-07,80
2015-06-14,70
2015-06-21,69
2015-06-28,70
2015-07-05,78
2015-07-12,75
2015-07-19,72
2015-07-26,71
2015-08-02,72
2015-08-09,68
2015-08-16,72
2015-08-23,71
2015-08-30,73
2015-09-06,68
2015-09-13,76
2015-09-20,77
2015-09-27,77
2015-10-04,82
2015-10-11,81
2015-10-18,87
2015-10-25,81
2015-11-01,81
2015-11-08,78
2015-11-15,78
2015-11-22,59
2015-11-29,77
2015-12-06,76
2015-12-13,80
2015-12-20,70
2015-12-27,70
2016-01-03,90
2016-01-10,84
2016-01-17,89
2016-01-24,95
2016-01-31,98
2016-02-07,89
2016-02-14,93
2016-02-21,96
2016-02-28,95
2016-03-06,89
2016-03-13,87
2016-03-20,81
2016-03-27,93
2016-04-03,91
2016-04-10,99
2016-04-17,100
2016-04-24,92
2016-05-01,85
2016-05-08,84
2016-05-15,78
2016-05-22,78
2016-05-29,73
2016-06-05,75
2016-06-12,70
2016-06-19,73
2016-06-26,73
2016-07-03,75
2016-07-10,69
2016-07-17,77
2016-07-24,73
2016-07-31,71
2016-08-07,74
2016-08-14,72
2016-08-21,71
2016-08-28,75
2016-09-04,74
2016-09-11,81
2016-09-18,82
2016-09-25,79
2016-10-02,81
2016-10-09,82
2016-10-16,85
2016-10-23,87
2016-10-30,83
2016-11-06,72
2016-11-13,87
2016-11-20,63
2016-11-27,85
2016-12-04,83
2016-12-11,83
2016-12-18,70
2016-12-25,67
2017-01-01,74
2017-01-08,79
2017-01-15,85
2017-01-22,100
2017-01-29,97
2017-02-05,88
2017-02-12,94
2017-02-19,89
2017-02-26,93
2017-03-05,92
2017-03-12,90
2017-03-19,90
2017-03-26,90
2017-04-02,87
2017-04-09,88
2017-04-16,92
2017-04-23,89
2017-04-30,90
2017-05-07,82
2017-05-14,78
2017-05-21,74
2017-05-28,73
2017-06-04,77
2017-06-11,78
2017-06-18,81
2017-06-25,75
2017-07-02,70
2017-07-09,77
2017-07-16,78
2017-07-23,77
2017-07-30,78
2017-08-06,79
2017-08-13,73
2017-08-20,74
2017-08-27,74
2017-09-03,74
2017-09-10,79
2017-09-17,83
2017-09-24,88
2017-10-01,85
2017-10-08,94
2017-10-15,95
2017-10-22,89
2017-10-29,89
2017-11-05,83
2017-11-12,85
2017-11-19,73
2017-11-26,88
2017-12-03,90
2017-12-10,91
2017-12-17,79
2017-12-24,70
2017-12-31,68
2018-01-07,80
2018-01-14,83
2018-01-21,89
2018-01-28,94
2018-02-04,90
2018-02-11,94
2018-02-18,100
2018-02-25,97
2018-03-04,92
2018-03-11,90
2018-03-18,88
2018-03-25,87
2018-04-01,88
2018-04-08,92
2018-04-15,91
2018-04-22,85
2018-04-29,91
2018-05-06,81
2018-05-13,82
2018-05-20,76
2018-05-27,71
2018-06-03,72
2018-06-10,74
2018-06-17,80
2018-06-24,73
2018-07-01,67
2018-07-08,75
2018-07-15,74
2018-07-22,75
2018-07-29,74
2018-08-05,76
2018-08-12,72
