date,cancer
2010-10-17,88
2010-10-24,78
2010-10-31,74
2010-11-07,72
2010-11-14,70
2010-11-21,60
2010-11-28,69
2010-12-05,78
2010-12-12,63
2010-12-19,54
2010-12-26,57
2011-01-02,62
2011-01-09,69
2011-01-16,66
2011-01-23,63
2011-01-30,60
2011-02-06,61
2011-02-13,64
2011-02-20,63
2011-02-27,62
2011-03-06,62
2011-03-13,61
2011-03-20,65
2011-03-27,65
2011-04-03,64
2011-04-10,64
2011-04-17,62
2011-04-24,63
2011-05-01,62
2011-05-08,64
2011-05-15,64
2011-05-22,59
2011-05-29,64
2011-06-05,64
2011-06-12,61
2011-06-19,59
2011-06-26,60
2011-07-03,58
2011-07-10,58
2011-07-17,61
2011-07-24,59
2011-07-31,58
2011-08-07,59
2011-08-14,57
2011-08-21,58
2011-08-28,62
2011-09-04,60
2011-09-11,69
2011-09-18,70
2011-09-25,78
2011-10-02,100
2011-10-09,89
2011-10-16,88
2011-10-23,74
2011-10-30,71
2011-11-06,67
2011-11-13,69
2011-11-20,57
2011-11-27,63
2011-12-04,65
2011-12-11,58
2011-12-18,54
2011-12-25,51
2012-01-01,66
2012-01-08,72
2012-01-15,69
2012-01-22,72
2012-01-29,76
2012-02-05,73
2012-02-12,69
2012-02-19,68
2012-02-26,70
2012-03-04,72
2012-03-11,71
2012-03-18,71
2012-03-25,70
2012-04-01,67
2012-04-08,71
2012-04-15,73
2012-04-22,73
2012-04-29,75
2012-05-06,72
2012-05-13,73
2012-05-20,70
2012-05-27,64
2012-06-03,67
2012-06-10,71
2012-06-17,67
2012-06-24,65
2012-07-01,60
2012-07-08,65
2012-07-15,65
2012-07-22,66
2012-07-29,64
2012-08-05,64
2012-08-12,63
2012-08-19,68
2012-08-26,65
2012-09-02,72
2012-09-09,75
2012-09-16,76
2012-09-23,80
2012-09-30,100
2012-10-07,95
2012-10-14,89
2012-10-21,87
2012-10-28,71
2012-11-04,67
2012-11-11,69
2012-11-18,57
2012-11-25,68
2012-12-02,68
2012-12-09,65
2012-12-16,56
2012-12-23,51
2012-12-30,57
2013-01-06,71
2013-01-13,72
2013-01-20,68
2013-01-27,70
2013-02-03,69
2013-02-10,69
2013-02-17,72
2013-02-24,73
2013-03-03,78
2013-03-10,74
2013-03-17,72
2013-03-24,73
2013-03-31,78
2013-04-07,76
2013-04-14,69
2013-04-21,73
2013-04-28,73
2013-05-05,72
2013-05-12,77
2013-05-19,72
2013-05-26,71
2013-06-02,88
2013-06-09,74
2013-06-16,72
2013-06-23,68
2013-06-30,64
2013-07-07,74
2013-07-14,84
2013-07-21,71
2013-07-28,71
2013-08-04,70
2013-08-11,68
2013-08-18,67
2013-08-25,67
2013-09-01,70
2013-09-08,76
2013-09-15,75
2013-09-22,80
2013-09-29,100
2013-10-06,99
2013-10-13,94
2013-10-20,86
2013-10-27,78
2013-11-03,75
2013-11-10,78
2013-11-17,74
2013-11-24,61
2013-12-01,69
2013-12-08,70
2013-12-15,66
2013-12-22,59
2013-12-29,65
2014-01-05,63
2014-01-12,68
2014-01-19,67
2014-01-26,66
2014-02-02,73
2014-02-09,67
2014-02-16,68
2014-02-23,71
2014-03-02,71
2014-03-09,70
2014-03-16,70
2014-03-23,74
2014-03-30,69
2014-04-06,71
2014-04-13,66
2014-04-20,71
2014-04-27,70
2014-05-04,72
2014-05-11,70
2014-05-18,69
2014-05-25,67
2014-06-01,70
2014-06-08,66
2014-06-15,70
2014-06-22,66
2014-06-29,63
2014-07-06,66
2014-07-13,69
2014-07-20,67
2014-07-27,66
2014-08-03,67
2014-08-10,64
2014-08-17,65
2014-08-24,64
2014-08-31,71
2014-09-07,71
2014-09-14,71
2014-09-21,74
2014-09-28,100
2014-10-05,97
2014-10-12,85
2014-10-19,85
2014-10-26,75
2014-11-02,73
2014-11-09,73
2014-11-16,70
2014-11-23,56
2014-11-30,65
2014-12-07,67
2014-12-14,60
2014-12-21,51
2014-12-28,57
2015-01-04,89
2015-01-11,70
2015-01-18,70
2015-01-25,69
2015-02-01,73
2015-02-08,68
2015-02-15,74
2015-02-22,74
2015-03-01,73
2015-03-08,74
2015-03-15,71
2015-03-22,74
2015-03-29,80
2015-04-05,79
2015-04-12,79
2015-04-19,80
2015-04-26,72
2015-05-03,74
2015-05-10,77
2015-05-17,77
2015-05-24,72
2015-05-31,78
2015-06-07,77
2015-06-14,72
2015-06-21,74
2015-06-28,69
2015-07-05,74
2015-07-12,75
2015-07-19,74
2015-07-26,71
2015-08-02,71
2015-08-09,74
2015-08-16,78
2015-08-23,73
2015-08-30,77
2015-09-06,76
2015-09-13,82
2015-09-20,88
2015-09-27,100
2015-10-04,99
2015-10-11,97
2015-10-18,95
2015-10-25,97
2015-11-01,83
2015-11-08,81
2015-11-15,77
2015-11-22,68
2015-11-29,74
2015-12-06,77
2015-12-13,71
2015-12-20,62
2015-12-27,66
2016-01-03,66
2016-01-10,100
2016-01-17,71
2016-01-24,68
2016-01-31,74
2016-02-07,68
2016-02-14,72
2016-02-21,74
2016-02-28,73
2016-03-06,72
2016-03-13,67
2016-03-20,67
2016-03-27,68
2016-04-03,70
2016-04-10,71
2016-04-17,70
2016-04-24,67
2016-05-01,67
2016-05-08,67
2016-05-15,70
2016-05-22,66
2016-05-29,62
2016-06-05,66
2016-06-12,63
2016-06-19,65
2016-06-26,67
2016-07-03,62
2016-07-10,65
2016-07-17,65
2016-07-24,63
2016-07-31,63
2016-08-07,57
2016-08-14,59
2016-08-21,61
2016-08-28,63
2016-09-04,69
2016-09-11,72
2016-09-18,72
2016-09-25,73
2016-10-02,78
2016-10-09,77
2016-10-16,76
2016-10-23,70
2016-10-30,69
2016-11-06,59
2016-11-13,69
2016-11-20,55
2016-11-27,67
2016-12-04,64
2016-12-11,64
2016-12-18,59
2016-12-25,56
2017-01-01,79
2017-01-08,84
2017-01-15,85
2017-01-22,89
2017-01-29,87
2017-02-05,87
2017-02-12,83
2017-02-19,87
2017-02-26,89
2017-03-05,88
2017-03-12,84
2017-03-19,86
2017-03-26,86
2017-04-02,84
2017-04-09,83
2017-04-16,83
2017-04-23,93
2017-04-30,89
2017-05-07,86
2017-05-14,84
2017-05-21,84
2017-05-28,82
2017-06-04,84
2017-06-11,82
2017-06-18,86
2017-06-25,87
2017-07-02,82
2017-07-09,87
2017-07-16,92
2017-07-23,89
2017-07-30,85
2017-08-06,86
2017-08-13,82
2017-08-20,79
2017-08-27,79
2017-09-03,78
2017-09-10,81
2017-09-17,87
2017-09-24,91
2017-10-01,100
2017-10-08,97
2017-10-15,98
2017-10-22,94
2017-10-29,85
2017-11-05,86
2017-11-12,87
2017-11-19,75
2017-11-26,84
2017-12-03,83
2017-12-10,82
2017-12-17,78
2017-12-24,73
2017-12-31,81
2018-01-07,73
2018-01-14,75
2018-01-21,79
2018-01-28,81
2018-02-04,86
2018-02-11,77
2018-02-18,77
2018-02-25,81
2018-03-04,79
2018-03-11,76
2018-03-18,77
2018-03-25,83
2018-04-01,80
2018-04-08,79
2018-04-15,78
2018-04-22,80
2018-04-29,80
2018-05-06,76
2018-05-13,74
2018-05-20,78
2018-05-27,78
2018-06-03,81
2018-06-10,81
2018-06-17,78
2018-06-24,76
2018-07-01,75
2018-07-08,79
2018-07-15,82
2018-07-22,79
2018-07-29,77
2018-08-05,78
2018-08-12,87
2018-08-19,82
2018-08-26,83
2018-09-02,80
2018-09-09,83
2018-09-16,82
2018-09-23,83
2018-09-30,100
2018-10-07,93
2018-10-14,90
2018-10-21,89
2018-10-28,85
2018-11-04,79
2018-11-11,80
2018-11-18,69
2018-11-25,83
2018-12-02,78
2018-12-09,80
2018-12-16,72
2018-12-23,67
2018-12-30,73
2019-01-06,71
2019-01-13,74
2019-01-20,75
2019-01-27,81
2019-02-03,81
2019-02-10,71
2019-02-17,73
2019-02-24,76
2019-03-03,100
2019-03-10,81
2019-03-17,78
2019-03-24,79
2019-03-31,86
2019-04-07,77
2019-04-14,73
2019-04-21,72
2019-04-28,78
2019-05-05,74
2019-05-12,73
2019-05-19,74
2019-05-26,70
2019-06-02,76
2019-06-09,78
2019-06-16,80
2019-06-23,83
2019-06-30,73
2019-07-07,76
2019-07-14,76
2019-07-21,74
2019-07-28,74
2019-08-04,72
2019-08-11,75
2019-08-18,77
2019-08-25,74
2019-09-01,67
2019-09-08,79
2019-09-15,81
2019-09-22,79
2019-09-29,95
2019-10-06,89
2019-10-13,83
2019-10-20,85
2019-10-27,75
2019-11-03,78
2019-11-10,75
2019-11-17,77
2019-11-24,66
2019-12-01,75
2019-12-08,74
2019-12-15,69
2019-12-22,64
2019-12-29,76
2020-01-05,85
2020-01-12,85
2020-01-19,86
2020-01-26,84
2020-02-02,100
2020-02-09,87
2020-02-16,87
2020-02-23,84
2020-03-01,81
2020-03-08,74
2020-03-15,61
2020-03-22,60
2020-03-29,60
2020-04-05,61
2020-04-12,61
2020-04-19,66
2020-04-26,64
2020-05-03,63
2020-05-10,64
2020-05-17,66
2020-05-24,65
2020-05-31,65
2020-06-07,71
2020-06-14,72
2020-06-21,74
2020-06-28,69
2020-07-05,73
2020-07-12,82
2020-07-19,76
2020-07-26,74
2020-08-02,71
2020-08-09,70
2020-08-16,69
2020-08-23,92
2020-08-30,92
2020-09-06,75
2020-09-13,76
2020-09-20,77
2020-09-27,82
2020-10-04,89
2020-10-11,85
2020-10-18,85
2020-10-25,78
2020-11-01,62
2020-11-08,80
2020-11-15,78
2020-11-22,66
2020-11-29,74
2020-12-06,80
