date,economics
2004-01-04,74
2004-01-11,83
2004-01-18,82
2004-01-25,95
2004-02-01,86
2004-02-08,92
2004-02-15,85
2004-02-22,91
2004-02-29,94
2004-03-07,96
2004-03-14,79
2004-03-21,92
2004-03-28,82
2004-04-04,83
2004-04-11,82
2004-04-18,100
2004-04-25,97
2004-05-02,99
2004-05-09,91
2004-05-16,81
2004-05-23,72
2004-05-30,55
2004-06-06,67
2004-06-13,58
2004-06-20,67
2004-06-27,55
2004-07-04,56
2004-07-11,54
2004-07-18,70
2004-07-25,65
2004-08-01,54
2004-08-08,65
2004-08-15,58
2004-08-22,62
2004-08-29,77
2004-09-05,93
2004-09-12,74
2004-09-19,88
2004-09-26,94
2004-10-03,91
2004-10-10,88
2004-10-17,88
2004-10-24,91
2004-10-31,83
2004-11-07,81
2004-11-14,99
2004-11-21,80
2004-11-28,85
2004-12-05,88
2004-12-12,88
2004-12-19,53
2004-12-26,47
2005-01-02,81
2005-01-09,80
2005-01-16,82
2005-01-23,85
2005-01-30,100
2005-02-06,92
2005-02-13,85
2005-02-20,81
2005-02-27,84
2005-03-06,94
2005-03-13,81
2005-03-20,79
2005-03-27,82
2005-04-03,93
2005-04-10,88
2005-04-17,80
2005-04-24,90
2005-05-01,80
2005-05-08,86
2005-05-15,72
2005-05-22,70
2005-05-29,57
2005-06-05,62
2005-06-12,55
2005-06-19,49
2005-06-26,55
2005-07-03,41
2005-07-10,61
2005-07-17,54
2005-07-24,62
2005-07-31,54
2005-08-07,45
2005-08-14,50
2005-08-21,63
2005-08-28,70
2005-09-04,77
2005-09-11,78
2005-09-18,84
2005-09-25,85
2005-10-02,84
2005-10-09,100
2005-10-16,80
2005-10-23,78
2005-10-30,81
2005-11-06,90
2005-11-13,76
2005-11-20,62
2005-11-27,80
2005-12-04,95
2005-12-11,83
2005-12-18,51
2005-12-25,38
2006-01-01,63
2006-01-08,97
2006-01-15,100
2006-01-22,92
2006-01-29,94
2006-02-05,99
2006-02-12,95
2006-02-19,77
2006-02-26,98
