date,home depot
2004-01-04,70
2004-01-11,63
2004-01-18,65
2004-01-25,60
2004-02-01,56
2004-02-08,55
2004-02-15,61
2004-02-22,63
2004-02-29,57
2004-03-07,72
2004-03-14,67
2004-03-21,80
2004-03-28,71
2004-04-04,78
2004-04-11,65
2004-04-18,81
2004-04-25,81
2004-05-02,80
2004-05-09,79
2004-05-16,78
2004-05-23,88
2004-05-30,91
2004-06-06,90
2004-06-13,88
2004-06-20,85
2004-06-27,85
2004-07-04,100
2004-07-11,86
2004-07-18,84
2004-07-25,78
2004-08-01,84
2004-08-08,81
2004-08-15,83
2004-08-22,80
2004-08-29,77
2004-09-05,93
2004-09-12,76
2004-09-19,77
2004-09-26,72
2004-10-03,68
2004-10-10,69
2004-10-17,64
2004-10-24,70
2004-10-31,65
2004-11-07,77
2004-11-14,72
2004-11-21,86
2004-11-28,77
2004-12-05,73
2004-12-12,81
2004-12-19,83
2004-12-26,93
2005-01-02,70
2005-01-09,67
2005-01-16,71
2005-01-23,65
2005-01-30,65
2005-02-06,59
2005-02-13,66
2005-02-20,70
2005-02-27,67
2005-03-06,76
2005-03-13,71
2005-03-20,72
2005-03-27,81
2005-04-03,88
2005-04-10,81
2005-04-17,81
2005-04-24,82
2005-05-01,83
2005-05-08,77
2005-05-15,92
2005-05-22,94
2005-05-29,96
2005-06-05,99
2005-06-12,100
2005-06-19,90
2005-06-26,94
2005-07-03,96
2005-07-10,92
2005-07-17,90
2005-07-24,90
2005-07-31,90
2005-08-07,88
2005-08-14,88
2005-08-21,86
2005-08-28,80
2005-09-04,83
2005-09-11,78
2005-09-18,74
2005-09-25,78
2005-10-02,77
2005-10-09,79
2005-10-16,75
2005-10-23,79
2005-10-30,76
2005-11-06,80
2005-11-13,79
2005-11-20,91
2005-11-27,86
2005-12-04,81
2005-12-11,80
2005-12-18,82
2005-12-25,90
2006-01-01,70
2006-01-08,68
2006-01-15,68
2006-01-22,64
2006-01-29,65
2006-02-05,65
2006-02-12,64
2006-02-19,69
2006-02-26,67
2006-03-05,71
2006-03-12,75
2006-03-19,74
2006-03-26,75
2006-04-02,77
2006-04-09,78
2006-04-16,85
2006-04-23,85
2006-04-30,87
2006-05-07,85
2006-05-14,83
2006-05-21,88
2006-05-28,96
2006-06-04,87
2006-06-11,96
2006-06-18,88
2006-06-25,90
2006-07-02,100
2006-07-09,84
2006-07-16,92
2006-07-23,86
2006-07-30,89
2006-08-06,88
2006-08-13,80
2006-08-20,77
2006-08-27,81
2006-09-03,79
2006-09-10,75
2006-09-17,73
2006-09-24,74
2006-10-01,72
2006-10-08,70
2006-10-15,71
2006-10-22,73
2006-10-29,68
2006-11-05,72
2006-11-12,74
2006-11-19,89
2006-11-26,79
2006-12-03,79
2006-12-10,70
2006-12-17,77
2006-12-24,83
2006-12-31,84
2007-01-07,67
2007-01-14,68
2007-01-21,66
2007-01-28,69
2007-02-04,65
2007-02-11,62
2007-02-18,74
2007-02-25,66
2007-03-04,71
2007-03-11,73
2007-03-18,70
2007-03-25,87
2007-04-01,84
2007-04-08,79
2007-04-15,81
2007-04-22,89
2007-04-29,87
2007-05-06,86
2007-05-13,88
2007-05-20,93
2007-05-27,100
2007-06-03,83
2007-06-10,90
2007-06-17,86
2007-06-24,87
2007-07-01,96
2007-07-08,86
2007-07-15,86
2007-07-22,83
2007-07-29,88
2007-08-05,83
2007-08-12,82
2007-08-19,78
2007-08-26,81
2007-09-02,80
2007-09-09,71
2007-09-16,70
2007-09-23,69
2007-09-30,74
2007-10-07,68
2007-10-14,64
2007-10-21,67
2007-10-28,70
2007-11-04,72
2007-11-11,72
2007-11-18,86
2007-11-25,74
2007-12-02,74
2007-12-09,69
2007-12-16,74
2007-12-23,75
2007-12-30,83
2008-01-06,63
2008-01-13,64
2008-01-20,62
2008-01-27,64
2008-02-03,60
2008-02-10,62
2008-02-17,65
2008-02-24,65
2008-03-02,69
2008-03-09,71
2008-03-16,73
2008-03-23,76
2008-03-30,76
2008-04-06,79
2008-04-13,86
2008-04-20,88
2008-04-27,91
2008-05-04,90
2008-05-11,86
2008-05-18,97
2008-05-25,100
2008-06-01,95
2008-06-08,100
2008-06-15,89
