date,portfolio
2004-01-04,68
2004-01-11,78
2004-01-18,96
2004-01-25,73
2004-02-01,86
2004-02-08,74
2004-02-15,80
2004-02-22,83
2004-02-29,72
2004-03-07,65
2004-03-14,73
2004-03-21,70
2004-03-28,100
2004-04-04,74
2004-04-11,76
2004-04-18,89
2004-04-25,100
2004-05-02,82
2004-05-09,83
2004-05-16,81
2004-05-23,78
2004-05-30,69
2004-06-06,86
2004-06-13,82
2004-06-20,72
2004-06-27,84
2004-07-04,74
2004-07-11,78
2004-07-18,80
2004-07-25,80
2004-08-01,94
2004-08-08,79
2004-08-15,81
2004-08-22,76
2004-08-29,71
2004-09-05,67
2004-09-12,76
2004-09-19,83
2004-09-26,84
2004-10-03,72
2004-10-10,63
2004-10-17,82
2004-10-24,73
2004-10-31,74
2004-11-07,72
2004-11-14,99
2004-11-21,76
2004-11-28,77
2004-12-05,75
2004-12-12,85
2004-12-19,54
2004-12-26,59
2005-01-02,89
2005-01-09,100
2005-01-16,100
2005-01-23,94
2005-01-30,90
2005-02-06,90
2005-02-13,93
2005-02-20,87
2005-02-27,93
2005-03-06,95
2005-03-13,82
2005-03-20,89
2005-03-27,78
2005-04-03,88
2005-04-10,100
2005-04-17,93
2005-04-24,87
2005-05-01,84
2005-05-08,74
2005-05-15,83
2005-05-22,87
2005-05-29,82
2005-06-05,83
2005-06-12,83
2005-06-19,84
2005-06-26,81
2005-07-03,87
2005-07-10,79
2005-07-17,81
2005-07-24,78
2005-07-31,69
2005-08-07,82
2005-08-14,75
2005-08-21,72
2005-08-28,85
2005-09-04,82
2005-09-11,80
2005-09-18,72
2005-09-25,88
2005-10-02,85
2005-10-09,98
2005-10-16,77
2005-10-23,90
2005-10-30,80
2005-11-06,83
2005-11-13,91
2005-11-20,85
2005-11-27,98
2005-12-04,96
2005-12-11,84
2005-12-18,60
2005-12-25,67
2006-01-01,74
2006-01-08,83
2006-01-15,72
2006-01-22,78
2006-01-29,76
2006-02-05,86
2006-02-12,77
2006-02-19,82
2006-02-26,79
2006-03-05,81
2006-03-12,88
2006-03-19,90
2006-03-26,80
2006-04-02,100
2006-04-09,76
2006-04-16,83
2006-04-23,89
2006-04-30,83
2006-05-07,80
2006-05-14,66
2006-05-21,66
2006-05-28,67
2006-06-04,73
2006-06-11,87
2006-06-18,68
2006-06-25,61
2006-07-02,70
2006-07-09,78
2006-07-16,72
2006-07-23,72
2006-07-30,59
2006-08-06,66
2006-08-13,71
2006-08-20,60
2006-08-27,68
2006-09-03,63
2006-09-10,78
2006-09-17,71
2006-09-24,73
2006-10-01,78
2006-10-08,72
2006-10-15,75
2006-10-22,75
2006-10-29,68
2006-11-05,77
2006-11-12,66
2006-11-19,65
2006-11-26,74
2006-12-03,75
2006-12-10,70
2006-12-17,62
2006-12-24,62
2006-12-31,77
2007-01-07,84
2007-01-14,74
2007-01-21,73
2007-01-28,76
2007-02-04,79
2007-02-11,84
2007-02-18,78
2007-02-25,85
2007-03-04,91
2007-03-11,82
2007-03-18,76
2007-03-25,91
2007-04-01,75
2007-04-08,83
2007-04-15,84
2007-04-22,100
2007-04-29,91
2007-05-06,84
2007-05-13,74
2007-05-20,77
2007-05-27,72
2007-06-03,85
2007-06-10,72
2007-06-17,78
2007-06-24,76
2007-07-01,64
2007-07-08,77
2007-07-15,73
2007-07-22,73
2007-07-29,83
2007-08-05,66
2007-08-12,84
2007-08-19,71
2007-08-26,78
2007-09-02,61
2007-09-09,78
2007-09-16,78
2007-09-23,70
2007-09-30,75
2007-10-07,85
2007-10-14,81
2007-10-21,81
2007-10-28,81
2007-11-04,87
2007-11-11,84
2007-11-18,81
2007-11-25,89
2007-12-02,84
2007-12-09,85
2007-12-16,62
2007-12-23,58
2007-12-30,77
2008-01-06,90
2008-01-13,88
2008-01-20,82
2008-01-27,94
2008-02-03,81
2008-02-10,83
2008-02-17,79
2008-02-24,82
2008-03-02,77
2008-03-09,83
2008-03-16,80
2008-03-23,81
2008-03-30,86
2008-04-06,84
2008-04-13,92
2008-04-20,89
2008-04-27,93
2008-05-04,92
2008-05-11,95
2008-05-18,79
2008-05-25,70
2008-06-01,80
2008-06-08,78
2008-06-15,84
2008-06-22,72
2008-06-29,68
2008-07-06,74
2008-07-13,77
2008-07-20,80
2008-07-27,77
2008-08-03,71
2008-08-10,72
2008-08-17,73
2008-08-24,70
2008-08-31,74
2008-09-07,81
2008-09-14,86
2008-09-21,83
2008-09-28,85
2008-10-05,87
2008-10-12,93
2008-10-19,84
2008-10-26,91
2008-11-02,85
2008-11-09,90
2008-11-16,100
2008-11-23,78
2008-11-30,93
2008-12-07,91
2008-12-14,84
2008-12-21,64
2008-12-28,60
2009-01-04,84
2009-01-11,87
2009-01-18,84
2009-01-25,85
2009-02-01,86
2009-02-08,81
2009-02-15,92
2009-02-22,97
2009-03-01,86
2009-03-08,94
2009-03-15,80
2009-03-22,91
2009-03-29,100
2009-04-05,95
2009-04-12,94
2009-04-19,96
2009-04-26,98
2009-05-03,95
2009-05-10,94
2009-05-17,78
2009-05-24,76
2009-05-31,91
2009-06-07,97
2009-06-14,77
2009-06-21,83
2009-06-28,61
2009-07-05,77
2009-07-12,76
2009-07-19,76
2009-07-26,73
2009-08-02,86
2009-08-09,76
2009-08-16,83
2009-08-23,81
2009-08-30,80
2009-09-06,84
2009-09-13,77
2009-09-20,85
2009-09-27,95
2009-10-04,86
2009-10-11,94
2009-10-18,92
2009-10-25,77
2009-11-01,92
2009-11-08,88
2009-11-15,86
2009-11-22,73
2009-11-29,98
2009-12-06,97
2009-12-13,81
2009-12-20,61
2009-12-27,56
2010-01-03,77
2010-01-10,72
2010-01-17,85
2010-01-24,83
2010-01-31,78
2010-02-07,71
2010-02-14,76
2010-02-21,87
2010-02-28,77
2010-03-07,80
2010-03-14,84
2010-03-21,83
2010-03-28,82
2010-04-04,90
2010-04-11,86
2010-04-18,88
2010-04-25,100
2010-05-02,87
2010-05-09,80
2010-05-16,77
2010-05-23,81
2010-05-30,79
2010-06-06,76
2010-06-13,72
2010-06-20,73
2010-06-27,71
2010-07-04,54
2010-07-11,66
2010-07-18,70
2010-07-25,67
2010-08-01,69
2010-08-08,68
2010-08-15,67
2010-08-22,58
2010-08-29,62
2010-09-05,57
2010-09-12,66
2010-09-19,65
2010-09-26,64
2010-10-03,73
2010-10-10,68
2010-10-17,77
2010-10-24,80
2010-10-31,75
2010-11-07,79
2010-11-14,79
2010-11-21,66
2010-11-28,83
2010-12-05,85
2010-12-12,72
2010-12-19,59
2010-12-26,55
2011-01-02,82
2011-01-09,85
2011-01-16,83
2011-01-23,83
2011-01-30,84
2011-02-06,83
2011-02-13,85
2011-02-20,79
2011-02-27,82
2011-03-06,78
2011-03-13,73
2011-03-20,82
2011-03-27,80
2011-04-03,76
2011-04-10,80
2011-04-17,81
2011-04-24,92
2011-05-01,87
2011-05-08,88
2011-05-15,77
2011-05-22,75
2011-05-29,70
2011-06-05,71
2011-06-12,71
2011-06-19,71
2011-06-26,69
2011-07-03,67
2011-07-10,67
2011-07-17,75
2011-07-24,76
2011-07-31,72
2011-08-07,72
2011-08-14,79
2011-08-21,82
2011-08-28,73
2011-09-04,69
2011-09-11,78
2011-09-18,100
2011-09-25,87
2011-10-02,89
2011-10-09,78
2011-10-16,81
2011-10-23,81
2011-10-30,75
2011-11-06,77
2011-11-13,78
2011-11-20,65
2011-11-27,86
2011-12-04,88
2011-12-11,76
2011-12-18,64
2011-12-25,59
2012-01-01,85
2012-01-08,94
2012-01-15,86
2012-01-22,95
2012-01-29,99
2012-02-05,92
2012-02-12,91
2012-02-19,90
2012-02-26,100
2012-03-04,90
2012-03-11,88
2012-03-18,93
2012-03-25,89
2012-04-01,82
2012-04-08,86
2012-04-15,95
2012-04-22,100
2012-04-29,97
2012-05-06,97
2012-05-13,88
2012-05-20,86
2012-05-27,73
2012-06-03,82
2012-06-10,79
2012-06-17,75
2012-06-24,79
2012-07-01,69
2012-07-08,80
2012-07-15,83
2012-07-22,76
2012-07-29,81
2012-08-05,75
2012-08-12,77
2012-08-19,87
2012-08-26,82
2012-09-02,80
2012-09-09,85
2012-09-16,85
2012-09-23,91
2012-09-30,78
2012-10-07,79
2012-10-14,87
2012-10-21,78
2012-10-28,81
2012-11-04,80
2012-11-11,89
2012-11-18,69
2012-11-25,91
2012-12-02,98
2012-12-09,90
2012-12-16,75
2012-12-23,60
2012-12-30,73
2013-01-06,85
2013-01-13,86
2013-01-20,86
2013-01-27,91
2013-02-03,91
2013-02-10,89
2013-02-17,82
2013-02-24,87
2013-03-03,92
2013-03-10,90
2013-03-17,86
2013-03-24,91
2013-03-31,94
2013-04-07,94
2013-04-14,93
2013-04-21,100
2013-04-28,100
2013-05-05,96
2013-05-12,91
2013-05-19,87
2013-05-26,76
2013-06-02,85
2013-06-09,78
2013-06-16,75
2013-06-23,77
2013-06-30,66
2013-07-07,81
2013-07-14,79
2013-07-21,81
2013-07-28,84
2013-08-04,83
2013-08-11,78
2013-08-18,80
2013-08-25,76
2013-09-01,80
2013-09-08,85
2013-09-15,87
2013-09-22,80
2013-09-29,83
2013-10-06,86
2013-10-13,92
2013-10-20,89
2013-10-27,89
2013-11-03,99
2013-11-10,97
2013-11-17,94
2013-11-24,82
2013-12-01,91
2013-12-08,100
2013-12-15,85
2013-12-22,63
2013-12-29,67
2014-01-05,84
2014-01-12,90
2014-01-19,81
2014-01-26,83
2014-02-02,86
2014-02-09,88
2014-02-16,86
2014-02-23,95
2014-03-02,94
2014-03-09,88
2014-03-16,86
2014-03-23,88
2014-03-30,88
2014-04-06,95
2014-04-13,90
2014-04-20,88
2014-04-27,98
2014-05-04,100
2014-05-11,91
2014-05-18,80
2014-05-25,84
2014-06-01,84
2014-06-08,76
2014-06-15,80
2014-06-22,74
2014-06-29,66
2014-07-06,76
2014-07-13,78
2014-07-20,82
2014-07-27,80
2014-08-03,79
2014-08-10,73
2014-08-17,79
2014-08-24,84
2014-08-31,78
2014-09-07,82
2014-09-14,78
2014-09-21,87
