date,invest
2004-01-04,77
2004-01-11,63
2004-01-18,59
2004-01-25,65
2004-02-01,62
2004-02-08,70
2004-02-15,72
2004-02-22,66
2004-02-29,53
2004-03-07,29
2004-03-14,36
2004-03-21,100
2004-03-28,68
2004-04-04,79
2004-04-11,44
2004-04-18,59
2004-04-25,85
2004-05-02,98
2004-05-09,56
2004-05-16,64
2004-05-23,61
2004-05-30,70
2004-06-06,62
2004-06-13,74
2004-06-20,40
2004-06-27,81
2004-07-04,63
2004-07-11,55
2004-07-18,64
2004-07-25,58
2004-08-01,65
2004-08-08,60
2004-08-15,55
2004-08-22,62
2004-08-29,50
2004-09-05,85
2004-09-12,77
2004-09-19,81
2004-09-26,50
2004-10-03,47
2004-10-10,48
2004-10-17,58
2004-10-24,41
2004-10-31,72
2004-11-07,67
2004-11-14,61
2004-11-21,79
2004-11-28,84
2004-12-05,71
2004-12-12,83
2004-12-19,66
2004-12-26,82
2005-01-02,70
2005-01-09,67
2005-01-16,44
2005-01-23,83
2005-01-30,100
2005-02-06,80
2005-02-13,78
2005-02-20,66
2005-02-27,87
2005-03-06,75
2005-03-13,68
2005-03-20,79
2005-03-27,84
2005-04-03,65
2005-04-10,56
2005-04-17,76
2005-04-24,74
2005-05-01,43
2005-05-08,61
2005-05-15,74
2005-05-22,55
2005-05-29,80
2005-06-05,70
2005-06-12,59
2005-06-19,68
2005-06-26,47
2005-07-03,65
2005-07-10,74
2005-07-17,76
2005-07-24,46
2005-07-31,58
2005-08-07,66
2005-08-14,83
2005-08-21,58
2005-08-28,63
2005-09-04,71
2005-09-11,54
2005-09-18,49
2005-09-25,59
2005-10-02,81
2005-10-09,57
2005-10-16,63
2005-10-23,67
2005-10-30,57
2005-11-06,57
2005-11-13,56
2005-11-20,75
2005-11-27,57
2005-12-04,62
2005-12-11,61
2005-12-18,65
2005-12-25,75
2006-01-01,47
2006-01-08,65
2006-01-15,70
2006-01-22,69
2006-01-29,68
2006-02-05,74
2006-02-12,81
2006-02-19,76
2006-02-26,76
2006-03-05,85
2006-03-12,59
2006-03-19,58
2006-03-26,62
2006-04-02,76
2006-04-09,75
2006-04-16,100
2006-04-23,82
2006-04-30,76
2006-05-07,71
2006-05-14,72
2006-05-21,65
2006-05-28,62
2006-06-04,71
2006-06-11,56
2006-06-18,51
2006-06-25,71
2006-07-02,54
2006-07-09,64
2006-07-16,54
2006-07-23,56
2006-07-30,55
2006-08-06,69
2006-08-13,56
2006-08-20,68
2006-08-27,64
2006-09-03,64
2006-09-10,57
2006-09-17,85
2006-09-24,72
2006-10-01,69
2006-10-08,57
2006-10-15,72
2006-10-22,73
2006-10-29,57
2006-11-05,55
2006-11-12,43
2006-11-19,54
2006-11-26,64
2006-12-03,70
2006-12-10,59
2006-12-17,57
2006-12-24,68
2006-12-31,80
2007-01-07,66
2007-01-14,73
2007-01-21,83
2007-01-28,81
2007-02-04,71
2007-02-11,81
2007-02-18,78
2007-02-25,78
2007-03-04,67
2007-03-11,76
2007-03-18,62
2007-03-25,63
2007-04-01,66
2007-04-08,85
2007-04-15,74
2007-04-22,66
2007-04-29,67
2007-05-06,74
2007-05-13,56
2007-05-20,73
2007-05-27,71
2007-06-03,80
2007-06-10,79
2007-06-17,89
2007-06-24,82
2007-07-01,82
2007-07-08,87
2007-07-15,71
2007-07-22,73
2007-07-29,75
2007-08-05,84
2007-08-12,67
2007-08-19,78
2007-08-26,59
2007-09-02,63
2007-09-09,64
2007-09-16,86
2007-09-23,76
2007-09-30,77
2007-10-07,65
2007-10-14,80
2007-10-21,84
2007-10-28,82
2007-11-04,100
2007-11-11,77
2007-11-18,80
2007-11-25,88
2007-12-02,78
2007-12-09,84
2007-12-16,65
2007-12-23,81
2007-12-30,77
2008-01-06,72
2008-01-13,69
2008-01-20,78
2008-01-27,63
2008-02-03,65
2008-02-10,63
2008-02-17,66
2008-02-24,82
2008-03-02,66
2008-03-09,80
2008-03-16,79
2008-03-23,73
2008-03-30,72
2008-04-06,58
2008-04-13,57
2008-04-20,70
2008-04-27,62
2008-05-04,65
2008-05-11,60
2008-05-18,48
2008-05-25,58
2008-06-01,59
2008-06-08,66
2008-06-15,51
2008-06-22,49
2008-06-29,77
2008-07-06,63
2008-07-13,70
2008-07-20,60
2008-07-27,52
2008-08-03,52
2008-08-10,49
2008-08-17,56
2008-08-24,45
2008-08-31,45
2008-09-07,56
2008-09-14,91
2008-09-21,86
2008-09-28,82
2008-10-05,100
2008-10-12,92
2008-10-19,65
2008-10-26,64
2008-11-02,51
2008-11-09,61
2008-11-16,65
2008-11-23,49
2008-11-30,64
2008-12-07,60
2008-12-14,43
2008-12-21,39
2008-12-28,60
2009-01-04,80
2009-01-11,82
2009-01-18,77
2009-01-25,84
2009-02-01,76
2009-02-08,88
2009-02-15,76
2009-02-22,100
2009-03-01,96
2009-03-08,87
2009-03-15,83
2009-03-22,93
2009-03-29,91
2009-04-05,68
2009-04-12,69
2009-04-19,70
2009-04-26,79
2009-05-03,81
2009-05-10,74
2009-05-17,76
2009-05-24,73
2009-05-31,66
2009-06-07,65
2009-06-14,60
2009-06-21,63
2009-06-28,55
2009-07-05,74
2009-07-12,64
2009-07-19,71
2009-07-26,66
2009-08-02,81
2009-08-09,81
2009-08-16,64
2009-08-23,82
2009-08-30,81
2009-09-06,63
2009-09-13,67
2009-09-20,61
2009-09-27,55
2009-10-04,91
2009-10-11,81
2009-10-18,77
2009-10-25,66
2009-11-01,73
2009-11-08,87
2009-11-15,81
2009-11-22,81
2009-11-29,82
2009-12-06,63
2009-12-13,63
2009-12-20,58
2009-12-27,66
2010-01-03,97
2010-01-10,100
2010-01-17,83
2010-01-24,85
2010-01-31,83
2010-02-07,75
2010-02-14,85
2010-02-21,99
2010-02-28,81
2010-03-07,95
2010-03-14,80
2010-03-21,94
2010-03-28,98
2010-04-04,95
2010-04-11,90
2010-04-18,79
2010-04-25,82
2010-05-02,83
2010-05-09,85
2010-05-16,83
2010-05-23,78
2010-05-30,82
2010-06-06,68
2010-06-13,79
2010-06-20,73
2010-06-27,67
2010-07-04,63
2010-07-11,74
2010-07-18,71
2010-07-25,73
2010-08-01,81
2010-08-08,70
2010-08-15,73
2010-08-22,69
2010-08-29,61
2010-09-05,68
2010-09-12,76
2010-09-19,93
2010-09-26,81
2010-10-03,86
2010-10-10,81
2010-10-17,94
2010-10-24,79
2010-10-31,80
2010-11-07,96
2010-11-14,82
2010-11-21,67
2010-11-28,85
2010-12-05,82
2010-12-12,75
2010-12-19,62
2010-12-26,79
2011-01-02,87
2011-01-09,86
2011-01-16,82
2011-01-23,84
2011-01-30,83
2011-02-06,96
2011-02-13,79
2011-02-20,80
2011-02-27,85
2011-03-06,87
2011-03-13,74
2011-03-20,86
2011-03-27,90
2011-04-03,83
2011-04-10,83
2011-04-17,77
2011-04-24,80
2011-05-01,72
2011-05-08,77
2011-05-15,67
2011-05-22,66
2011-05-29,65
2011-06-05,63
2011-06-12,63
2011-06-19,68
2011-06-26,62
2011-07-03,65
2011-07-10,65
2011-07-17,69
2011-07-24,80
2011-07-31,76
2011-08-07,100
2011-08-14,77
2011-08-21,74
2011-08-28,73
2011-09-04,67
2011-09-11,63
2011-09-18,71
2011-09-25,71
2011-10-02,75
2011-10-09,69
2011-10-16,71
2011-10-23,79
2011-10-30,67
2011-11-06,62
2011-11-13,65
2011-11-20,60
2011-11-27,75
2011-12-04,68
2011-12-11,62
2011-12-18,55
2011-12-25,62
2012-01-01,77
2012-01-08,75
2012-01-15,71
2012-01-22,89
2012-01-29,100
2012-02-05,94
2012-02-12,84
2012-02-19,82
2012-02-26,83
2012-03-04,76
2012-03-11,82
