date,intel
2004-01-04,96
2004-01-11,98
2004-01-18,86
2004-01-25,98
2004-02-01,91
2004-02-08,80
2004-02-15,88
2004-02-22,81
2004-02-29,96
2004-03-07,92
2004-03-14,80
2004-03-21,74
2004-03-28,78
2004-04-04,69
2004-04-11,74
2004-04-18,70
2004-04-25,71
2004-05-02,87
2004-05-09,83
2004-05-16,75
2004-05-23,72
2004-05-30,71
2004-06-06,76
2004-06-13,87
2004-06-20,93
2004-06-27,94
2004-07-04,83
2004-07-11,89
2004-07-18,79
2004-07-25,91
2004-08-01,95
2004-08-08,79
2004-08-15,85
2004-08-22,90
2004-08-29,100
2004-09-05,87
2004-09-12,87
2004-09-19,89
2004-09-26,80
2004-10-03,81
2004-10-10,76
2004-10-17,80
2004-10-24,79
2004-10-31,81
2004-11-07,86
2004-11-14,79
2004-11-21,86
2004-11-28,85
2004-12-05,82
2004-12-12,80
2004-12-19,86
2004-12-26,88
2005-01-02,63
2005-01-09,70
2005-01-16,67
2005-01-23,65
2005-01-30,58
2005-02-06,62
2005-02-13,57
2005-02-20,64
2005-02-27,60
2005-03-06,62
2005-03-13,56
2005-03-20,56
2005-03-27,55
2005-04-03,48
2005-04-10,53
2005-04-17,54
2005-04-24,53
2005-05-01,54
2005-05-08,51
2005-05-15,54
2005-05-22,61
2005-05-29,61
2005-06-05,100
2005-06-12,78
2005-06-19,63
2005-06-26,62
2005-07-03,58
2005-07-10,62
2005-07-17,60
2005-07-24,63
2005-07-31,63
2005-08-07,68
2005-08-14,64
2005-08-21,65
2005-08-28,58
2005-09-04,58
2005-09-11,65
2005-09-18,54
2005-09-25,54
2005-10-02,53
2005-10-09,55
2005-10-16,56
2005-10-23,57
2005-10-30,56
2005-11-06,55
2005-11-13,56
2005-11-20,62
2005-11-27,56
2005-12-04,60
2005-12-11,59
2005-12-18,65
2005-12-25,72
2006-01-01,76
2006-01-08,100
2006-01-15,99
2006-01-22,84
2006-01-29,76
2006-02-05,76
2006-02-12,73
2006-02-19,80
2006-02-26,74
2006-03-05,90
2006-03-12,77
2006-03-19,75
2006-03-26,70
2006-04-02,89
2006-04-09,74
2006-04-16,78
2006-04-23,71
2006-04-30,70
2006-05-07,79
2006-05-14,76
2006-05-21,72
2006-05-28,77
2006-06-04,66
2006-06-11,78
2006-06-18,79
2006-06-25,69
2006-07-02,72
2006-07-09,82
2006-07-16,84
2006-07-23,96
2006-07-30,88
2006-08-06,97
2006-08-13,86
2006-08-20,76
2006-08-27,80
2006-09-03,86
2006-09-10,74
2006-09-17,72
