date,health
2004-01-04,99
2004-01-11,99
2004-01-18,98
2004-01-25,98
2004-02-01,93
2004-02-08,97
2004-02-15,94
2004-02-22,100
2004-02-29,98
2004-03-07,87
2004-03-14,93
2004-03-21,86
2004-03-28,94
2004-04-04,94
2004-04-11,89
2004-04-18,98
2004-04-25,92
2004-05-02,92
2004-05-09,89
2004-05-16,91
2004-05-23,86
2004-05-30,85
2004-06-06,92
2004-06-13,93
2004-06-20,91
2004-06-27,91
2004-07-04,90
2004-07-11,90
2004-07-18,90
2004-07-25,88
2004-08-01,86
2004-08-08,89
2004-08-15,88
2004-08-22,94
2004-08-29,91
2004-09-05,87
2004-09-12,93
2004-09-19,94
2004-09-26,96
2004-10-03,94
2004-10-10,96
2004-10-17,100
2004-10-24,93
2004-10-31,95
2004-11-07,91
2004-11-14,97
2004-11-21,78
2004-11-28,94
2004-12-05,88
2004-12-12,79
2004-12-19,69
2004-12-26,77
2005-01-02,98
2005-01-09,100
2005-01-16,97
2005-01-23,100
2005-01-30,97
2005-02-06,99
2005-02-13,98
2005-02-20,94
2005-02-27,92
2005-03-06,94
2005-03-13,89
2005-03-20,94
2005-03-27,93
2005-04-03,92
2005-04-10,99
2005-04-17,96
2005-04-24,94
2005-05-01,90
2005-05-08,91
2005-05-15,91
2005-05-22,89
2005-05-29,84
2005-06-05,89
2005-06-12,90
2005-06-19,91
2005-06-26,90
2005-07-03,84
2005-07-10,92
2005-07-17,91
2005-07-24,92
2005-07-31,90
2005-08-07,90
2005-08-14,90
2005-08-21,89
2005-08-28,88
2005-09-04,91
2005-09-11,94
2005-09-18,92
2005-09-25,97
2005-10-02,94
2005-10-09,91
2005-10-16,92
2005-10-23,90
2005-10-30,97
2005-11-06,90
2005-11-13,94
2005-11-20,74
2005-11-27,90
2005-12-04,83
2005-12-11,78
2005-12-18,69
2005-12-25,73
2006-01-01,93
2006-01-08,96
2006-01-15,94
2006-01-22,98
2006-01-29,100
2006-02-05,91
2006-02-12,91
2006-02-19,90
2006-02-26,92
2006-03-05,91
2006-03-12,89
2006-03-19,91
2006-03-26,92
2006-04-02,93
2006-04-09,89
2006-04-16,90
2006-04-23,94
2006-04-30,92
2006-05-07,87
2006-05-14,89
2006-05-21,89
2006-05-28,81
2006-06-04,88
2006-06-11,86
2006-06-18,87
2006-06-25,85
2006-07-02,76
2006-07-09,86
2006-07-16,88
2006-07-23,86
2006-07-30,86
2006-08-06,88
2006-08-13,86
2006-08-20,92
2006-08-27,85
2006-09-03,83
2006-09-10,91
2006-09-17,94
2006-09-24,93
2006-10-01,91
2006-10-08,90
2006-10-15,91
2006-10-22,90
2006-10-29,92
2006-11-05,88
2006-11-12,88
2006-11-19,70
2006-11-26,88
2006-12-03,86
2006-12-10,79
2006-12-17,70
2006-12-24,71
2006-12-31,91
2007-01-07,100
2007-01-14,93
2007-01-21,100
2007-01-28,96
2007-02-04,95
2007-02-11,88
2007-02-18,90
2007-02-25,93
2007-03-04,91
2007-03-11,88
2007-03-18,93
2007-03-25,90
2007-04-01,89
2007-04-08,87
2007-04-15,91
2007-04-22,93
2007-04-29,92
2007-05-06,89
2007-05-13,90
2007-05-20,91
2007-05-27,88
2007-06-03,90
2007-06-10,91
2007-06-17,93
2007-06-24,93
2007-07-01,84
2007-07-08,95
2007-07-15,89
2007-07-22,94
2007-07-29,93
2007-08-05,91
2007-08-12,92
2007-08-19,89
2007-08-26,88
2007-09-02,89
2007-09-09,94
2007-09-16,96
2007-09-23,98
2007-09-30,97
2007-10-07,94
2007-10-14,94
2007-10-21,95
2007-10-28,97
2007-11-04,98
2007-11-11,96
2007-11-18,71
2007-11-25,91
2007-12-02,84
2007-12-09,81
2007-12-16,77
2007-12-23,67
2007-12-30,87
2008-01-06,97
2008-01-13,96
2008-01-20,99
2008-01-27,99
2008-02-03,96
2008-02-10,91
2008-02-17,92
2008-02-24,100
2008-03-02,96
2008-03-09,90
2008-03-16,92
2008-03-23,96
2008-03-30,92
2008-04-06,95
2008-04-13,91
