date,buy
2004-01-04,67
2004-01-11,66
2004-01-18,64
2004-01-25,63
2004-02-01,59
2004-02-08,64
2004-02-15,60
2004-02-22,60
2004-02-29,60
2004-03-07,59
2004-03-14,59
2004-03-21,65
2004-03-28,62
2004-04-04,60
2004-04-11,56
2004-04-18,62
2004-04-25,62
2004-05-02,62
2004-05-09,61
2004-05-16,59
2004-05-23,67
2004-05-30,66
2004-06-06,67
2004-06-13,72
2004-06-20,70
2004-06-27,68
2004-07-04,69
2004-07-11,68
2004-07-18,65
2004-07-25,66
2004-08-01,67
2004-08-08,67
2004-08-15,72
2004-08-22,70
2004-08-29,64
2004-09-05,62
2004-09-12,62
2004-09-19,66
2004-09-26,60
2004-10-03,61
2004-10-10,60
2004-10-17,62
2004-10-24,61
2004-10-31,59
2004-11-07,69
2004-11-14,77
2004-11-21,100
2004-11-28,84
2004-12-05,82
2004-12-12,92
2004-12-19,96
2004-12-26,85
2005-01-02,64
2005-01-09,64
2005-01-16,62
2005-01-23,59
2005-01-30,59
2005-02-06,57
2005-02-13,56
2005-02-20,56
2005-02-27,55
2005-03-06,56
2005-03-13,54
2005-03-20,57
2005-03-27,58
2005-04-03,58
2005-04-10,54
2005-04-17,55
2005-04-24,56
2005-05-01,56
2005-05-08,55
2005-05-15,56
2005-05-22,60
2005-05-29,61
2005-06-05,59
2005-06-12,64
2005-06-19,61
2005-06-26,60
2005-07-03,63
2005-07-10,60
2005-07-17,63
2005-07-24,62
2005-07-31,64
2005-08-07,60
2005-08-14,62
2005-08-21,61
2005-08-28,58
2005-09-04,60
2005-09-11,60
2005-09-18,55
2005-09-25,56
2005-10-02,57
2005-10-09,58
2005-10-16,57
2005-10-23,59
2005-10-30,56
2005-11-06,62
2005-11-13,67
2005-11-20,100
2005-11-27,79
2005-12-04,77
2005-12-11,86
2005-12-18,95
2005-12-25,88
2006-01-01,63
2006-01-08,58
2006-01-15,56
2006-01-22,54
2006-01-29,55
2006-02-05,54
2006-02-12,52
2006-02-19,55
2006-02-26,54
2006-03-05,51
2006-03-12,52
2006-03-19,53
2006-03-26,51
2006-04-02,51
2006-04-09,50
2006-04-16,52
2006-04-23,48
2006-04-30,52
2006-05-07,51
2006-05-14,51
2006-05-21,53
2006-05-28,54
2006-06-04,54
2006-06-11,57
2006-06-18,54
2006-06-25,55
2006-07-02,58
2006-07-09,53
2006-07-16,55
2006-07-23,57
2006-07-30,59
2006-08-06,59
2006-08-13,59
2006-08-20,57
2006-08-27,59
2006-09-03,56
2006-09-10,53
2006-09-17,54
2006-09-24,54
2006-10-01,55
2006-10-08,55
2006-10-15,55
2006-10-22,55
2006-10-29,54
2006-11-05,58
2006-11-12,70
2006-11-19,100
2006-11-26,77
2006-12-03,80
2006-12-10,82
