date,amazon
2004-01-04,53
2004-01-11,51
2004-01-18,54
2004-01-25,51
2004-02-01,50
2004-02-08,48
2004-02-15,50
2004-02-22,49
2004-02-29,47
2004-03-07,51
2004-03-14,51
2004-03-21,52
2004-03-28,54
2004-04-04,49
2004-04-11,45
2004-04-18,47
2004-04-25,48
2004-05-02,51
2004-05-09,49
2004-05-16,52
2004-05-23,53
2004-05-30,54
2004-06-06,52
2004-06-13,55
2004-06-20,54
2004-06-27,55
2004-07-04,54
2004-07-11,55
2004-07-18,53
2004-07-25,56
2004-08-01,58
2004-08-08,56
2004-08-15,58
2004-08-22,60
2004-08-29,56
2004-09-05,60
2004-09-12,57
2004-09-19,57
2004-09-26,57
2004-10-03,52
2004-10-10,56
2004-10-17,55
2004-10-24,61
2004-10-31,51
2004-11-07,66
2004-11-14,73
2004-11-21,76
2004-11-28,90
2004-12-05,100
2004-12-12,97
2004-12-19,89
2004-12-26,73
2005-01-02,64
2005-01-09,60
2005-01-16,58
2005-01-23,57
2005-01-30,54
2005-02-06,54
2005-02-13,54
2005-02-20,51
2005-02-27,51
2005-03-06,53
2005-03-13,55
2005-03-20,54
2005-03-27,53
2005-04-03,53
2005-04-10,53
2005-04-17,52
2005-04-24,52
2005-05-01,55
2005-05-08,53
2005-05-15,54
2005-05-22,52
2005-05-29,58
2005-06-05,57
2005-06-12,56
2005-06-19,57
2005-06-26,56
2005-07-03,61
2005-07-10,58
2005-07-17,60
2005-07-24,58
2005-07-31,58
2005-08-07,60
2005-08-14,63
2005-08-21,64
2005-08-28,59
2005-09-04,55
2005-09-11,57
2005-09-18,58
2005-09-25,59
2005-10-02,57
2005-10-09,60
2005-10-16,57
2005-10-23,58
2005-10-30,64
2005-11-06,64
2005-11-13,68
2005-11-20,80
2005-11-27,87
2005-12-04,91
2005-12-11,100
2005-12-18,91
2005-12-25,77
2006-01-01,64
2006-01-08,62
2006-01-15,64
2006-01-22,60
2006-01-29,61
2006-02-05,53
2006-02-12,53
2006-02-19,55
2006-02-26,58
2006-03-05,55
2006-03-12,55
2006-03-19,56
2006-03-26,52
2006-04-02,54
2006-04-09,52
2006-04-16,53
2006-04-23,53
2006-04-30,53
2006-05-07,51
2006-05-14,53
2006-05-21,57
2006-05-28,52
2006-06-04,60
2006-06-11,59
2006-06-18,59
2006-06-25,56
2006-07-02,61
2006-07-09,58
2006-07-16,58
2006-07-23,56
2006-07-30,59
2006-08-06,57
2006-08-13,60
2006-08-20,63
2006-08-27,63
2006-09-03,62
2006-09-10,61
2006-09-17,62
2006-09-24,61
2006-10-01,58
2006-10-08,59
2006-10-15,58
2006-10-22,58
2006-10-29,58
2006-11-05,61
2006-11-12,67
2006-11-19,87
2006-11-26,83
2006-12-03,88
2006-12-10,100
2006-12-17,83
2006-12-24,80
2006-12-31,69
2007-01-07,60
2007-01-14,62
2007-01-21,58
2007-01-28,57
2007-02-04,57
2007-02-11,54
2007-02-18,52
2007-02-25,52
2007-03-04,54
2007-03-11,50
2007-03-18,51
2007-03-25,52
2007-04-01,51
2007-04-08,50
2007-04-15,52
2007-04-22,52
2007-04-29,53
2007-05-06,55
2007-05-13,55
2007-05-20,57
2007-05-27,55
2007-06-03,56
2007-06-10,59
2007-06-17,58
2007-06-24,56
2007-07-01,58
2007-07-08,58
2007-07-15,59
2007-07-22,58
2007-07-29,59
2007-08-05,58
2007-08-12,59
2007-08-19,62
2007-08-26,61
2007-09-02,62
2007-09-09,60
2007-09-16,59
2007-09-23,60
2007-09-30,60
2007-10-07,57
2007-10-14,59
2007-10-21,58
2007-10-28,58
2007-11-04,65
2007-11-11,67
2007-11-18,90
2007-11-25,89
2007-12-02,91
2007-12-09,100
2007-12-16,93
2007-12-23,76
2007-12-30,70
2008-01-06,55
2008-01-13,54
2008-01-20,50
2008-01-27,50
2008-02-03,48
2008-02-10,49
