date,present
2004-01-04,50
2004-01-11,64
2004-01-18,80
2004-01-25,70
2004-02-01,48
2004-02-08,70
2004-02-15,75
2004-02-22,65
2004-02-29,66
2004-03-07,55
2004-03-14,70
2004-03-21,72
2004-03-28,69
2004-04-04,57
2004-04-11,64
2004-04-18,72
2004-04-25,71
2004-05-02,69
2004-05-09,61
2004-05-16,55
2004-05-23,64
2004-05-30,37
2004-06-06,61
2004-06-13,36
2004-06-20,52
2004-06-27,38
2004-07-04,52
2004-07-11,47
2004-07-18,48
2004-07-25,55
2004-08-01,45
2004-08-08,45
2004-08-15,53
2004-08-22,54
2004-08-29,59
2004-09-05,67
2004-09-12,66
2004-09-19,68
2004-09-26,81
2004-10-03,75
2004-10-10,100
2004-10-17,95
2004-10-24,77
2004-10-31,71
2004-11-07,74
2004-11-14,93
2004-11-21,52
2004-11-28,94
2004-12-05,86
2004-12-12,86
2004-12-19,96
2004-12-26,48
2005-01-02,42
2005-01-09,69
2005-01-16,47
2005-01-23,67
2005-01-30,67
2005-02-06,63
2005-02-13,62
2005-02-20,63
2005-02-27,55
2005-03-06,67
2005-03-13,66
2005-03-20,56
2005-03-27,55
2005-04-03,56
2005-04-10,63
2005-04-17,52
2005-04-24,69
2005-05-01,63
2005-05-08,58
2005-05-15,64
2005-05-22,52
2005-05-29,61
2005-06-05,49
2005-06-12,56
2005-06-19,40
2005-06-26,37
2005-07-03,39
2005-07-10,39
2005-07-17,46
2005-07-24,40
2005-07-31,39
2005-08-07,47
2005-08-14,40
2005-08-21,44
2005-08-28,51
2005-09-04,67
2005-09-11,65
2005-09-18,57
2005-09-25,69
2005-10-02,64
2005-10-09,55
2005-10-16,69
2005-10-23,62
2005-10-30,65
2005-11-06,74
2005-11-13,78
2005-11-20,65
2005-11-27,82
2005-12-04,91
2005-12-11,97
2005-12-18,100
2005-12-25,35
2006-01-01,63
2006-01-08,80
2006-01-15,63
2006-01-22,68
2006-01-29,75
2006-02-05,65
2006-02-12,78
2006-02-19,72
2006-02-26,64
2006-03-05,71
2006-03-12,60
2006-03-19,77
2006-03-26,63
2006-04-02,72
2006-04-09,68
2006-04-16,63
2006-04-23,80
2006-04-30,69
2006-05-07,82
2006-05-14,69
2006-05-21,68
2006-05-28,64
2006-06-04,64
2006-06-11,57
2006-06-18,53
2006-06-25,43
2006-07-02,51
2006-07-09,48
2006-07-16,43
2006-07-23,46
2006-07-30,44
2006-08-06,45
2006-08-13,52
2006-08-20,44
2006-08-27,52
2006-09-03,71
2006-09-10,71
2006-09-17,71
2006-09-24,60
2006-10-01,65
2006-10-08,74
2006-10-15,73
2006-10-22,73
2006-10-29,70
2006-11-05,68
2006-11-12,89
2006-11-19,68
2006-11-26,77
2006-12-03,100
2006-12-10,100
2006-12-17,95
2006-12-24,55
2006-12-31,58
2007-01-07,47
2007-01-14,49
2007-01-21,62
2007-01-28,53
2007-02-04,53
2007-02-11,54
2007-02-18,50
2007-02-25,56
2007-03-04,48
2007-03-11,58
2007-03-18,50
2007-03-25,57
2007-04-01,48
2007-04-08,57
2007-04-15,60
2007-04-22,65
2007-04-29,58
2007-05-06,62
2007-05-13,56
2007-05-20,50
2007-05-27,45
2007-06-03,51
2007-06-10,55
2007-06-17,45
2007-06-24,37
2007-07-01,36
2007-07-08,46
2007-07-15,46
2007-07-22,39
2007-07-29,45
2007-08-05,34
2007-08-12,37
2007-08-19,42
2007-08-26,52
2007-09-02,54
2007-09-09,62
2007-09-16,68
2007-09-23,61
2007-09-30,67
2007-10-07,65
2007-10-14,59
2007-10-21,60
2007-10-28,69
2007-11-04,70
2007-11-11,66
2007-11-18,68
2007-11-25,88
2007-12-02,90
2007-12-09,100
2007-12-16,94
2007-12-23,56
2007-12-30,30
2008-01-06,57
2008-01-13,58
2008-01-20,55
2008-01-27,64
2008-02-03,63
2008-02-10,67
2008-02-17,54
2008-02-24,59
2008-03-02,52
2008-03-09,58
2008-03-16,51
2008-03-23,51
2008-03-30,60
2008-04-06,65
2008-04-13,62
2008-04-20,66
2008-04-27,64
2008-05-04,71
2008-05-11,67
2008-05-18,62
2008-05-25,61
2008-06-01,60
2008-06-08,52
2008-06-15,45
2008-06-22,44
2008-06-29,37
2008-07-06,46
2008-07-13,47
2008-07-20,42
2008-07-27,44
2008-08-03,48
2008-08-10,44
2008-08-17,44
2008-08-24,52
2008-08-31,62
2008-09-07,65
2008-09-14,67
2008-09-21,70
2008-09-28,71
2008-10-05,71
2008-10-12,67
2008-10-19,69
2008-10-26,69
2008-11-02,73
2008-11-09,75
2008-11-16,79
2008-11-23,70
2008-11-30,94
2008-12-07,95
2008-12-14,100
2008-12-21,78
2008-12-28,39
2009-01-04,49
2009-01-11,54
2009-01-18,55
2009-01-25,54
2009-02-01,58
2009-02-08,62
2009-02-15,53
2009-02-22,59
2009-03-01,60
2009-03-08,61
2009-03-15,54
2009-03-22,54
2009-03-29,59
2009-04-05,53
2009-04-12,51
2009-04-19,57
2009-04-26,64
2009-05-03,64
2009-05-10,56
2009-05-17,54
2009-05-24,50
2009-05-31,52
2009-06-07,49
2009-06-14,49
2009-06-21,43
2009-06-28,40
2009-07-05,41
2009-07-12,47
2009-07-19,41
2009-07-26,39
2009-08-02,41
2009-08-09,40
2009-08-16,38
2009-08-23,52
2009-08-30,55
2009-09-06,60
2009-09-13,66
2009-09-20,69
2009-09-27,68
2009-10-04,65
2009-10-11,68
2009-10-18,71
2009-10-25,67
2009-11-01,74
2009-11-08,74
2009-11-15,73
2009-11-22,60
2009-11-29,93
2009-12-06,98
2009-12-13,100
2009-12-20,75
2009-12-27,37
2010-01-03,54
2010-01-10,57
2010-01-17,59
2010-01-24,66
2010-01-31,62
2010-02-07,71
2010-02-14,67
2010-02-21,64
2010-02-28,66
2010-03-07,65
2010-03-14,67
2010-03-21,64
2010-03-28,60
2010-04-04,66
2010-04-11,71
2010-04-18,72
2010-04-25,76
2010-05-02,74
2010-05-09,71
2010-05-16,65
2010-05-23,62
2010-05-30,63
2010-06-06,62
2010-06-13,51
2010-06-20,47
2010-06-27,47
2010-07-04,44
2010-07-11,47
2010-07-18,41
2010-07-25,41
2010-08-01,43
2010-08-08,48
2010-08-15,40
2010-08-22,47
2010-08-29,54
2010-09-05,61
2010-09-12,63
2010-09-19,70
2010-09-26,65
2010-10-03,69
2010-10-10,69
2010-10-17,70
2010-10-24,67
2010-10-31,68
2010-11-07,76
2010-11-14,78
2010-11-21,67
2010-11-28,94
2010-12-05,100
2010-12-12,99
2010-12-19,89
2010-12-26,37
2011-01-02,46
2011-01-09,47
2011-01-16,49
2011-01-23,56
2011-01-30,56
2011-02-06,63
2011-02-13,61
2011-02-20,57
2011-02-27,56
2011-03-06,52
2011-03-13,48
2011-03-20,52
2011-03-27,52
2011-04-03,56
2011-04-10,56
2011-04-17,52
2011-04-24,61
2011-05-01,63
2011-05-08,62
2011-05-15,53
2011-05-22,49
2011-05-29,46
2011-06-05,47
2011-06-12,43
2011-06-19,41
2011-06-26,37
2011-07-03,36
2011-07-10,38
2011-07-17,37
2011-07-24,36
2011-07-31,36
2011-08-07,34
2011-08-14,36
2011-08-21,43
2011-08-28,50
2011-09-04,54
2011-09-11,60
2011-09-18,57
2011-09-25,63
2011-10-02,62
2011-10-09,61
2011-10-16,62
2011-10-23,62
2011-10-30,63
2011-11-06,66
2011-11-13,68
2011-11-20,58
2011-11-27,80
2011-12-04,93
2011-12-11,100
2011-12-18,89
2011-12-25,42
