date,money
2004-01-04,94
2004-01-11,85
2004-01-18,85
2004-01-25,85
2004-02-01,83
2004-02-08,87
2004-02-15,92
2004-02-22,92
2004-02-29,85
2004-03-07,85
2004-03-14,100
2004-03-21,85
2004-03-28,82
2004-04-04,79
2004-04-11,83
2004-04-18,86
2004-04-25,92
2004-05-02,84
2004-05-09,94
2004-05-16,90
2004-05-23,80
2004-05-30,79
2004-06-06,83
2004-06-13,83
2004-06-20,83
2004-06-27,85
2004-07-04,93
2004-07-11,84
2004-07-18,81
2004-07-25,84
2004-08-01,84
2004-08-08,87
2004-08-15,85
2004-08-22,78
2004-08-29,72
2004-09-05,80
2004-09-12,78
2004-09-19,78
2004-09-26,88
2004-10-03,85
2004-10-10,86
2004-10-17,80
2004-10-24,87
2004-10-31,78
2004-11-07,80
2004-11-14,89
2004-11-21,87
2004-11-28,86
2004-12-05,82
2004-12-12,87
2004-12-19,81
2004-12-26,85
2005-01-02,92
2005-01-09,100
2005-01-16,92
2005-01-23,91
2005-01-30,93
2005-02-06,93
2005-02-13,91
2005-02-20,91
2005-02-27,93
2005-03-06,94
2005-03-13,89
2005-03-20,90
2005-03-27,92
2005-04-03,95
2005-04-10,95
2005-04-17,92
2005-04-24,95
2005-05-01,94
2005-05-08,92
2005-05-15,95
2005-05-22,89
2005-05-29,93
2005-06-05,89
2005-06-12,87
2005-06-19,88
2005-06-26,89
2005-07-03,93
2005-07-10,97
2005-07-17,93
2005-07-24,89
2005-07-31,92
2005-08-07,86
2005-08-14,89
2005-08-21,87
2005-08-28,87
2005-09-04,92
2005-09-11,92
2005-09-18,86
2005-09-25,93
2005-10-02,92
2005-10-09,97
2005-10-16,92
2005-10-23,95
2005-10-30,91
2005-11-06,93
2005-11-13,94
2005-11-20,93
2005-11-27,95
2005-12-04,86
2005-12-11,96
2005-12-18,90
2005-12-25,89
2006-01-01,90
2006-01-08,91
2006-01-15,97
2006-01-22,97
2006-01-29,91
2006-02-05,90
2006-02-12,90
2006-02-19,90
2006-02-26,96
2006-03-05,92
2006-03-12,92
2006-03-19,91
2006-03-26,95
2006-04-02,95
2006-04-09,93
2006-04-16,100
2006-04-23,97
2006-04-30,94
2006-05-07,96
2006-05-14,89
2006-05-21,97
2006-05-28,95
2006-06-04,95
2006-06-11,92
2006-06-18,89
2006-06-25,89
2006-07-02,89
2006-07-09,85
2006-07-16,92
2006-07-23,90
2006-07-30,91
2006-08-06,86
2006-08-13,86
2006-08-20,90
2006-08-27,88
2006-09-03,94
2006-09-10,91
2006-09-17,96
2006-09-24,94
2006-10-01,94
2006-10-08,93
2006-10-15,92
2006-10-22,96
2006-10-29,94
2006-11-05,87
2006-11-12,95
2006-11-19,92
2006-11-26,97
2006-12-03,99
2006-12-10,92
2006-12-17,89
2006-12-24,90
2006-12-31,94
2007-01-07,86
2007-01-14,85
2007-01-21,85
2007-01-28,91
2007-02-04,88
2007-02-11,82
2007-02-18,86
2007-02-25,87
2007-03-04,85
2007-03-11,83
2007-03-18,85
2007-03-25,83
2007-04-01,82
2007-04-08,90
2007-04-15,85
2007-04-22,87
2007-04-29,92
2007-05-06,89
2007-05-13,83
2007-05-20,87
2007-05-27,87
2007-06-03,88
2007-06-10,86
2007-06-17,88
2007-06-24,88
2007-07-01,94
2007-07-08,94
2007-07-15,94
2007-07-22,87
2007-07-29,89
2007-08-05,95
2007-08-12,96
2007-08-19,92
2007-08-26,86
2007-09-02,89
2007-09-09,92
2007-09-16,98
2007-09-23,100
2007-09-30,99
2007-10-07,95
2007-10-14,96
2007-10-21,93
2007-10-28,93
2007-11-04,98
2007-11-11,95
2007-11-18,94
2007-11-25,97
2007-12-02,95
2007-12-09,94
2007-12-16,94
2007-12-23,94
2007-12-30,98
2008-01-06,71
2008-01-13,73
2008-01-20,80
2008-01-27,73
2008-02-03,70
2008-02-10,67
2008-02-17,67
2008-02-24,70
2008-03-02,72
2008-03-09,72
2008-03-16,75
2008-03-23,70
2008-03-30,74
2008-04-06,72
2008-04-13,75
2008-04-20,73
2008-04-27,72
2008-05-04,71
2008-05-11,73
2008-05-18,69
2008-05-25,73
2008-06-01,70
2008-06-08,68
2008-06-15,72
2008-06-22,70
2008-06-29,70
2008-07-06,74
2008-07-13,83
2008-07-20,76
2008-07-27,76
2008-08-03,71
2008-08-10,69
2008-08-17,68
2008-08-24,67
2008-08-31,70
2008-09-07,69
2008-09-14,91
2008-09-21,90
2008-09-28,94
2008-10-05,100
2008-10-12,88
2008-10-19,80
2008-10-26,83
2008-11-02,76
2008-11-09,80
2008-11-16,80
2008-11-23,75
2008-11-30,80
2008-12-07,80
2008-12-14,75
2008-12-21,73
2008-12-28,78
2009-01-04,91
2009-01-11,93
2009-01-18,91
2009-01-25,95
2009-02-01,96
2009-02-08,96
2009-02-15,97
2009-02-22,100
2009-03-01,100
2009-03-08,97
2009-03-15,96
2009-03-22,97
2009-03-29,94
2009-04-05,88
2009-04-12,91
2009-04-19,86
2009-04-26,92
2009-05-03,93
2009-05-10,90
2009-05-17,84
2009-05-24,84
2009-05-31,88
2009-06-07,89
2009-06-14,88
2009-06-21,85
2009-06-28,84
2009-07-05,87
2009-07-12,90
2009-07-19,90
2009-07-26,87
2009-08-02,87
2009-08-09,85
2009-08-16,86
2009-08-23,86
2009-08-30,83
2009-09-06,83
2009-09-13,82
2009-09-20,83
2009-09-27,87
2009-10-04,85
2009-10-11,86
2009-10-18,84
2009-10-25,84
2009-11-01,86
2009-11-08,88
2009-11-15,90
2009-11-22,82
2009-11-29,88
2009-12-06,90
2009-12-13,91
2009-12-20,94
2009-12-27,97
2010-01-03,98
2010-01-10,99
2010-01-17,98
2010-01-24,100
2010-01-31,93
2010-02-07,90
2010-02-14,94
2010-02-21,92
2010-02-28,94
2010-03-07,92
2010-03-14,91
2010-03-21,92
2010-03-28,93
2010-04-04,90
2010-04-11,92
2010-04-18,88
2010-04-25,92
2010-05-02,89
2010-05-09,93
2010-05-16,92
2010-05-23,87
2010-05-30,88
2010-06-06,86
2010-06-13,81
2010-06-20,82
2010-06-27,85
2010-07-04,83
2010-07-11,87
2010-07-18,92
2010-07-25,87
2010-08-01,85
2010-08-08,83
2010-08-15,83
2010-08-22,83
2010-08-29,79
2010-09-05,80
2010-09-12,83
2010-09-19,89
2010-09-26,88
2010-10-03,87
2010-10-10,87
2010-10-17,85
2010-10-24,83
2010-10-31,85
2010-11-07,87
2010-11-14,87
2010-11-21,81
2010-11-28,88
2010-12-05,88
2010-12-12,87
2010-12-19,92
2010-12-26,93
2011-01-02,100
2011-01-09,92
2011-01-16,94
2011-01-23,93
2011-01-30,94
2011-02-06,89
2011-02-13,92
2011-02-20,91
2011-02-27,89
2011-03-06,89
2011-03-13,87
2011-03-20,90
2011-03-27,92
2011-04-03,94
2011-04-10,93
2011-04-17,88
2011-04-24,88
2011-05-01,85
2011-05-08,90
2011-05-15,92
2011-05-22,91
2011-05-29,89
2011-06-05,90
2011-06-12,89
2011-06-19,89
2011-06-26,90
2011-07-03,90
2011-07-10,93
2011-07-17,99
2011-07-24,93
2011-07-31,97
2011-08-07,98
2011-08-14,96
2011-08-21,89
2011-08-28,89
2011-09-04,87
2011-09-11,88
2011-09-18,90
2011-09-25,97
2011-10-02,90
2011-10-09,89
2011-10-16,88
2011-10-23,89
2011-10-30,89
2011-11-06,88
2011-11-13,89
2011-11-20,84
2011-11-27,91
2011-12-04,92
2011-12-11,91
2011-12-18,86
2011-12-25,88
2012-01-01,92
2012-01-08,90
2012-01-15,93
2012-01-22,100
2012-01-29,99
2012-02-05,93
2012-02-12,89
2012-02-19,88
2012-02-26,89
2012-03-04,87
2012-03-11,84
2012-03-18,86
2012-03-25,91
2012-04-01,86
2012-04-08,89
2012-04-15,88
2012-04-22,89
2012-04-29,91
2012-05-06,88
2012-05-13,92
2012-05-20,92
2012-05-27,89
2012-06-03,88
2012-06-10,87
2012-06-17,88
2012-06-24,86
2012-07-01,88
2012-07-08,94
2012-07-15,99
2012-07-22,90
2012-07-29,93
2012-08-05,90
2012-08-12,91
2012-08-19,89
2012-08-26,87
2012-09-02,89
2012-09-09,88
2012-09-16,88
2012-09-23,90
2012-09-30,90
2012-10-07,83
2012-10-14,84
2012-10-21,86
2012-10-28,81
2012-11-04,88
2012-11-11,87
2012-11-18,79
2012-11-25,87
2012-12-02,88
2012-12-09,88
2012-12-16,82
2012-12-23,82
2012-12-30,92
2013-01-06,89
2013-01-13,86
2013-01-20,86
2013-01-27,90
2013-02-03,86
2013-02-10,82
2013-02-17,83
2013-02-24,83
2013-03-03,83
2013-03-10,85
2013-03-17,83
2013-03-24,84
2013-03-31,81
2013-04-07,86
2013-04-14,82
2013-04-21,84
2013-04-28,85
2013-05-05,84
2013-05-12,85
2013-05-19,84
2013-05-26,84
2013-06-02,85
2013-06-09,85
2013-06-16,84
2013-06-23,85
2013-06-30,86
2013-07-07,87
2013-07-14,93
2013-07-21,88
2013-07-28,89
2013-08-04,87
2013-08-11,90
2013-08-18,84
2013-08-25,82
2013-09-01,84
2013-09-08,83
2013-09-15,94
2013-09-22,96
2013-09-29,97
2013-10-06,96
2013-10-13,95
2013-10-20,90
2013-10-27,87
2013-11-03,90
2013-11-10,89
2013-11-17,90
2013-11-24,82
