date,war
2004-01-04,64
2004-01-11,65
2004-01-18,65
2004-01-25,62
2004-02-01,64
2004-02-08,69
2004-02-15,70
2004-02-22,72
2004-02-29,75
2004-03-07,69
2004-03-14,73
2004-03-21,72
2004-03-28,76
2004-04-04,70
2004-04-11,76
2004-04-18,89
2004-04-25,94
2004-05-02,100
2004-05-09,99
2004-05-16,93
2004-05-23,84
2004-05-30,72
2004-06-06,55
2004-06-13,38
2004-06-20,36
2004-06-27,35
2004-07-04,38
2004-07-11,35
2004-07-18,35
2004-07-25,35
2004-08-01,37
2004-08-08,36
2004-08-15,34
2004-08-22,41
2004-08-29,47
2004-09-05,54
2004-09-12,57
2004-09-19,60
2004-09-26,67
2004-10-03,66
2004-10-10,62
2004-10-17,65
2004-10-24,68
2004-10-31,64
2004-11-07,72
2004-11-14,72
2004-11-21,59
2004-11-28,69
2004-12-05,73
2004-12-12,68
2004-12-19,44
2004-12-26,36
2005-01-02,62
2005-01-09,69
2005-01-16,65
2005-01-23,71
2005-01-30,70
2005-02-06,81
2005-02-13,73
2005-02-20,73
2005-02-27,77
2005-03-06,75
2005-03-13,80
2005-03-20,76
2005-03-27,76
2005-04-03,84
2005-04-10,87
2005-04-17,87
2005-04-24,96
2005-05-01,98
2005-05-08,100
2005-05-15,93
2005-05-22,88
2005-05-29,74
2005-06-05,62
2005-06-12,53
2005-06-19,48
2005-06-26,71
2005-07-03,61
2005-07-10,46
2005-07-17,43
2005-07-24,41
2005-07-31,41
2005-08-07,40
2005-08-14,41
2005-08-21,43
2005-08-28,42
2005-09-04,48
2005-09-11,52
2005-09-18,57
2005-09-25,61
2005-10-02,60
2005-10-09,59
2005-10-16,60
2005-10-23,63
2005-10-30,63
2005-11-06,65
2005-11-13,69
2005-11-20,60
2005-11-27,70
2005-12-04,71
2005-12-11,72
2005-12-18,51
2005-12-25,38
2006-01-01,63
2006-01-08,68
2006-01-15,71
2006-01-22,74
2006-01-29,79
2006-02-05,78
2006-02-12,79
2006-02-19,82
2006-02-26,88
2006-03-05,80
2006-03-12,77
2006-03-19,88
2006-03-26,81
2006-04-02,89
2006-04-09,81
2006-04-16,81
2006-04-23,93
2006-04-30,100
2006-05-07,94
2006-05-14,93
2006-05-21,84
2006-05-28,75
2006-06-04,61
2006-06-11,52
2006-06-18,44
2006-06-25,40
2006-07-02,45
2006-07-09,43
2006-07-16,49
2006-07-23,48
2006-07-30,45
2006-08-06,45
2006-08-13,45
2006-08-20,44
2006-08-27,45
2006-09-03,52
2006-09-10,56
2006-09-17,58
2006-09-24,60
2006-10-01,61
2006-10-08,65
2006-10-15,69
2006-10-22,69
2006-10-29,75
2006-11-05,92
2006-11-12,93
2006-11-19,85
2006-11-26,82
2006-12-03,83
2006-12-10,85
2006-12-17,65
2006-12-24,58
2006-12-31,66
2007-01-07,80
2007-01-14,76
2007-01-21,78
2007-01-28,79
2007-02-04,77
2007-02-11,76
2007-02-18,82
2007-02-25,83
2007-03-04,82
2007-03-11,88
2007-03-18,97
2007-03-25,93
2007-04-01,82
2007-04-08,86
2007-04-15,88
2007-04-22,93
2007-04-29,97
2007-05-06,100
2007-05-13,96
2007-05-20,90
2007-05-27,84
2007-06-03,72
2007-06-10,57
2007-06-17,51
2007-06-24,50
2007-07-01,50
2007-07-08,50
2007-07-15,50
2007-07-22,49
2007-07-29,48
2007-08-05,50
2007-08-12,48
2007-08-19,52
2007-08-26,55
2007-09-02,59
2007-09-09,65
2007-09-16,66
2007-09-23,77
2007-09-30,76
2007-10-07,68
2007-10-14,70
2007-10-21,71
2007-10-28,71
2007-11-04,76
2007-11-11,80
2007-11-18,69
2007-11-25,78
2007-12-02,82
2007-12-09,82
2007-12-16,73
2007-12-23,57
2007-12-30,63
2008-01-06,62
2008-01-13,58
2008-01-20,58
2008-01-27,59
2008-02-03,63
2008-02-10,64
2008-02-17,65
2008-02-24,73
2008-03-02,71
2008-03-09,70
2008-03-16,65
2008-03-23,68
2008-03-30,69
2008-04-06,72
2008-04-13,73
2008-04-20,73
2008-04-27,76
2008-05-04,80
2008-05-11,77
2008-05-18,73
2008-05-25,66
2008-06-01,57
2008-06-08,51
2008-06-15,44
2008-06-22,46
2008-06-29,45
2008-07-06,43
2008-07-13,44
2008-07-20,43
2008-07-27,42
2008-08-03,42
2008-08-10,47
2008-08-17,42
2008-08-24,44
2008-08-31,49
2008-09-07,51
2008-09-14,54
2008-09-21,57
2008-09-28,58
2008-10-05,60
2008-10-12,64
2008-10-19,66
2008-10-26,67
2008-11-02,86
2008-11-09,100
2008-11-16,81
2008-11-23,77
2008-11-30,78
2008-12-07,77
2008-12-14,72
2008-12-21,63
2008-12-28,60
2009-01-04,87
2009-01-11,86
2009-01-18,83
2009-01-25,84
2009-02-01,87
2009-02-08,88
2009-02-15,89
2009-02-22,97
2009-03-01,96
2009-03-08,96
2009-03-15,89
2009-03-22,93
2009-03-29,88
2009-04-05,84
2009-04-12,88
2009-04-19,92
2009-04-26,96
2009-05-03,100
2009-05-10,97
2009-05-17,95
2009-05-24,91
2009-05-31,81
2009-06-07,70
2009-06-14,60
2009-06-21,56
2009-06-28,57
2009-07-05,54
2009-07-12,53
2009-07-19,54
2009-07-26,57
2009-08-02,60
2009-08-09,52
2009-08-16,53
2009-08-23,57
2009-08-30,59
2009-09-06,65
2009-09-13,65
2009-09-20,68
2009-09-27,68
2009-10-04,73
2009-10-11,72
2009-10-18,74
2009-10-25,76
2009-11-01,77
2009-11-08,84
2009-11-15,82
2009-11-22,74
2009-11-29,88
2009-12-06,93
2009-12-13,81
2009-12-20,67
2009-12-27,62
2010-01-03,68
2010-01-10,73
2010-01-17,70
2010-01-24,77
2010-01-31,75
2010-02-07,77
2010-02-14,78
2010-02-21,86
2010-02-28,85
2010-03-07,88
2010-03-14,99
2010-03-21,97
2010-03-28,89
2010-04-04,87
2010-04-11,100
2010-04-18,97
2010-04-25,94
2010-05-02,96
2010-05-09,96
2010-05-16,94
2010-05-23,91
2010-05-30,82
2010-06-06,69
2010-06-13,62
2010-06-20,62
2010-06-27,59
2010-07-04,56
2010-07-11,51
2010-07-18,55
2010-07-25,56
2010-08-01,53
2010-08-08,49
2010-08-15,50
2010-08-22,51
2010-08-29,54
2010-09-05,57
2010-09-12,57
2010-09-19,60
2010-09-26,61
2010-10-03,62
2010-10-10,63
2010-10-17,64
2010-10-24,62
2010-10-31,66
2010-11-07,72
2010-11-14,71
2010-11-21,69
2010-11-28,75
2010-12-05,76
2010-12-12,73
2010-12-19,58
2010-12-26,52
2011-01-02,69
2011-01-09,77
2011-01-16,72
2011-01-23,72
2011-01-30,72
2011-02-06,76
2011-02-13,77
2011-02-20,78
2011-02-27,83
2011-03-06,80
2011-03-13,79
2011-03-20,88
2011-03-27,87
2011-04-03,88
2011-04-10,97
2011-04-17,87
2011-04-24,92
2011-05-01,100
2011-05-08,90
2011-05-15,86
2011-05-22,84
2011-05-29,84
2011-06-05,72
2011-06-12,66
2011-06-19,59
2011-06-26,57
2011-07-03,59
2011-07-10,53
2011-07-17,54
2011-07-24,56
2011-07-31,53
2011-08-07,55
2011-08-14,58
2011-08-21,58
2011-08-28,61
2011-09-04,66
2011-09-11,78
2011-09-18,100
2011-09-25,91
2011-10-02,78
2011-10-09,79
2011-10-16,78
2011-10-23,75
2011-10-30,76
2011-11-06,83
2011-11-13,75
2011-11-20,72
2011-11-27,76
2011-12-04,84
2011-12-11,88
2011-12-18,75
2011-12-25,75
2012-01-01,81
2012-01-08,87
2012-01-15,82
2012-01-22,85
2012-01-29,88
2012-02-05,88
2012-02-12,91
2012-02-19,92
2012-02-26,93
2012-03-04,91
2012-03-11,87
2012-03-18,85
2012-03-25,86
2012-04-01,80
2012-04-08,83
2012-04-15,91
2012-04-22,95
2012-04-29,100
2012-05-06,99
2012-05-13,91
2012-05-20,90
2012-05-27,91
2012-06-03,79
2012-06-10,68
2012-06-17,62
2012-06-24,60
2012-07-01,64
2012-07-08,60
2012-07-15,59
2012-07-22,58
2012-07-29,55
2012-08-05,55
2012-08-12,57
2012-08-19,59
2012-08-26,61
2012-09-02,65
2012-09-09,69
2012-09-16,71
2012-09-23,73
2012-09-30,73
2012-10-07,71
2012-10-14,72
2012-10-21,74
2012-10-28,70
2012-11-04,84
2012-11-11,95
2012-11-18,81
2012-11-25,82
2012-12-02,88
2012-12-09,88
2012-12-16,81
2012-12-23,62
2012-12-30,71
2013-01-06,72
2013-01-13,73
2013-01-20,73
2013-01-27,76
2013-02-03,83
2013-02-10,78
2013-02-17,80
2013-02-24,87
2013-03-03,89
2013-03-10,98
2013-03-17,100
2013-03-24,94
2013-03-31,94
2013-04-07,98
2013-04-14,93
2013-04-21,89
2013-04-28,93
2013-05-05,91
2013-05-12,87
2013-05-19,84
2013-05-26,90
2013-06-02,80
2013-06-09,72
2013-06-16,91
2013-06-23,89
2013-06-30,77
2013-07-07,63
2013-07-14,57
2013-07-21,56
2013-07-28,56
2013-08-04,54
2013-08-11,54
2013-08-18,58
2013-08-25,77
2013-09-01,93
2013-09-08,79
2013-09-15,77
2013-09-22,76
2013-09-29,72
2013-10-06,69
2013-10-13,69
2013-10-20,70
2013-10-27,70
2013-11-03,72
2013-11-10,78
2013-11-17,76
2013-11-24,69
2013-12-01,74
2013-12-08,78
2013-12-15,73
2013-12-22,54
2013-12-29,53
2014-01-05,75
2014-01-12,78
2014-01-19,76
2014-01-26,76
2014-02-02,78
2014-02-09,79
2014-02-16,80
2014-02-23,90
2014-03-02,96
2014-03-09,84
2014-03-16,87
2014-03-23,89
2014-03-30,85
2014-04-06,89
2014-04-13,84
2014-04-20,90
2014-04-27,97
2014-05-04,100
2014-05-11,99
2014-05-18,96
2014-05-25,96
2014-06-01,82
2014-06-08,70
2014-06-15,68
2014-06-22,62
2014-06-29,63
2014-07-06,60
2014-07-13,63
2014-07-20,65
2014-07-27,64
2014-08-03,64
2014-08-10,91
2014-08-17,66
2014-08-24,64
2014-08-31,70
2014-09-07,73
2014-09-14,76
2014-09-21,79
2014-09-28,78
2014-10-05,78
2014-10-12,78
2014-10-19,80
2014-10-26,81
2014-11-02,82
2014-11-09,92
2014-11-16,90
2014-11-23,75
2014-11-30,91
2014-12-07,97
2014-12-14,89
2014-12-21,69
2014-12-28,72
2015-01-04,72
2015-01-11,78
2015-01-18,76
2015-01-25,79
2015-02-01,79
2015-02-08,82
2015-02-15,77
2015-02-22,79
2015-03-01,79
2015-03-08,78
2015-03-15,77
2015-03-22,82
2015-03-29,77
2015-04-05,79
2015-04-12,87
2015-04-19,90
2015-04-26,95
2015-05-03,100
2015-05-10,93
2015-05-17,90
2015-05-24,84
2015-05-31,72
2015-06-07,64
2015-06-14,62
2015-06-21,67
2015-06-28,63
2015-07-05,63
2015-07-12,58
2015-07-19,59
2015-07-26,56
2015-08-02,55
2015-08-09,58
2015-08-16,64
2015-08-23,75
2015-08-30,85
2015-09-06,95
2015-09-13,84
2015-09-20,80
2015-09-27,79
2015-10-04,77
2015-10-11,75
2015-10-18,75
2015-10-25,74
