Catégorie : Toutes catégories

Mois,economics: (États-Unis)
2004-01,91
2004-02,100
2004-03,93
2004-04,91
2004-05,86
2004-06,64
2004-07,64
2004-08,63
2004-09,90
2004-10,91
2004-11,88
2004-12,76
2005-01,78
2005-02,82
2005-03,77
2005-04,78
2005-05,76
2005-06,53
2005-07,48
2005-08,53
2005-09,71
2005-10,81
2005-11,76
2005-12,64
2006-01,67
2006-02,73
2006-03,67
2006-04,66
2006-05,64
2006-06,43
2006-07,41
2006-08,46
2006-09,65
2006-10,66
2006-11,65
2006-12,55
2007-01,58
2007-02,59
2007-03,55
2007-04,58
2007-05,55
2007-06,40
2007-07,38
2007-08,45
2007-09,60
2007-10,68
2007-11,61
2007-12,55
2008-01,60
2008-02,59
2008-03,56
2008-04,59
2008-05,52
2008-06,40
2008-07,37
2008-08,41
2008-09,67
2008-10,70
2008-11,61
2008-12,53
2009-01,59
2009-02,65
2009-03,59
2009-04,57
2009-05,48
2009-06,37
2009-07,35
2009-08,41
2009-09,60
2009-10,63
2009-11,58
2009-12,52
2010-01,55
2010-02,55
2010-03,53
2010-04,54
2010-05,49
2010-06,36
2010-07,31
2010-08,38
2010-09,51
2010-10,52
2010-11,52
2010-12,43
2011-01,50
2011-02,51
2011-03,47
2011-04,51
2011-05,45
2011-06,36
2011-07,33
2011-08,45
2011-09,56
2011-10,57
2011-11,51
2011-12,44
2012-01,50
2012-02,52
2012-03,46
2012-04,48
2012-05,45
2012-06,33
2012-07,28
2012-08,39
2012-09,55
2012-10,52
2012-11,48
2012-12,39
2013-01,46
2013-02,49
2013-03,43
2013-04,49
2013-05,43
2013-06,28
2013-07,26
2013-08,34
2013-09,51
2013-10,53
2013-11,46
2013-12,40
2014-01,47
2014-02,49
2014-03,45
2014-04,48
2014-05,43
2014-06,30
2014-07,27
2014-08,34
2014-09,53
2014-10,51
2014-11,45
2014-12,41
2015-01,49
2015-02,51
2015-03,48
2015-04,50
2015-05,42
2015-06,30
2015-07,26
2015-08,37
2015-09,58
2015-10,55
2015-11,49
2015-12,42
2016-01,48
2016-02,51
2016-03,48
2016-04,50
2016-05,43
2016-06,28
2016-07,22
2016-08,33
2016-09,54
2016-10,52
2016-11,45
2016-12,40
2017-01,49
2017-02,52
2017-03,49
2017-04,49
2017-05,44
2017-06,25
2017-07,23
2017-08,34
2017-09,48
2017-10,51
2017-11,45
2017-12,42
2018-01,48
2018-02,50
2018-03,42
2018-04,45
2018-05,40
2018-06,24
2018-07,22
2018-08,33
2018-09,49
2018-10,47
2018-11,41
2018-12,36
2019-01,44
2019-02,48
2019-03,41
2019-04,42
2019-05,38
2019-06,24
2019-07,20
2019-08,32
2019-09,47
2019-10,45
2019-11,37
2019-12,32
2020-01,41
2020-02,44
2020-03,35
2020-04,38
2020-05,31
2020-06,24
2020-07,23
2020-08,34
2020-09,51
2020-10,39
2020-11,28
2020-12,31
