Catégorie : Toutes catégories

Mois,unemployment: (États-Unis)
2004-01,5
2004-02,5
2004-03,5
2004-04,4
2004-05,4
2004-06,4
2004-07,4
2004-08,4
2004-09,4
2004-10,4
2004-11,4
2004-12,4
2005-01,4
2005-02,4
2005-03,4
2005-04,4
2005-05,4
2005-06,4
2005-07,4
2005-08,4
2005-09,4
2005-10,4
2005-11,4
2005-12,4
2006-01,5
2006-02,4
2006-03,4
2006-04,4
2006-05,4
2006-06,4
2006-07,4
2006-08,4
2006-09,3
2006-10,4
2006-11,4
2006-12,4
2007-01,5
2007-02,4
2007-03,4
2007-04,4
2007-05,4
2007-06,4
2007-07,4
2007-08,4
2007-09,4
2007-10,4
2007-11,4
2007-12,5
2008-01,6
2008-02,5
2008-03,5
2008-04,5
2008-05,5
2008-06,6
2008-07,6
2008-08,6
2008-09,7
2008-10,8
2008-11,10
2008-12,12
2009-01,14
2009-02,14
2009-03,14
2009-04,13
2009-05,12
2009-06,13
2009-07,13
2009-08,13
2009-09,13
2009-10,14
2009-11,15
2009-12,14
2010-01,15
2010-02,14
2010-03,15
2010-04,14
2010-05,13
2010-06,16
2010-07,19
2010-08,12
2010-09,11
2010-10,11
2010-11,11
2010-12,14
2011-01,16
2011-02,13
2011-03,11
2011-04,11
2011-05,11
2011-06,12
2011-07,12
2011-08,12
2011-09,11
2011-10,11
2011-11,11
2011-12,12
2012-01,14
2012-02,12
2012-03,10
2012-04,11
2012-05,10
2012-06,10
2012-07,11
2012-08,10
2012-09,10
2012-10,10
2012-11,11
2012-12,11
2013-01,12
2013-02,9
2013-03,9
2013-04,9
2013-05,8
2013-06,8
2013-07,9
2013-08,8
2013-09,8
2013-10,9
2013-11,8
2013-12,10
2014-01,14
2014-02,11
2014-03,10
2014-04,10
2014-05,9
2014-06,7
2014-07,7
2014-08,6
2014-09,6
2014-10,6
2014-11,6
2014-12,6
2015-01,7
2015-02,6
2015-03,6
2015-04,5
2015-05,5
2015-06,6
2015-07,6
2015-08,5
2015-09,5
2015-10,5
2015-11,5
2015-12,6
2016-01,7
2016-02,6
2016-03,5
2016-04,5
2016-05,5
2016-06,5
2016-07,5
2016-08,5
2016-09,4
2016-10,5
2016-11,5
2016-12,5
2017-01,7
2017-02,5
2017-03,5
2017-04,5
2017-05,4
2017-06,4
2017-07,5
2017-08,4
2017-09,4
2017-10,4
2017-11,4
2017-12,5
2018-01,6
2018-02,5
2018-03,4
2018-04,5
2018-05,4
2018-06,4
2018-07,5
2018-08,4
2018-09,4
2018-10,4
2018-11,4
2018-12,5
2019-01,6
2019-02,5
2019-03,4
2019-04,4
2019-05,4
2019-06,4
2019-07,4
2019-08,4
2019-09,4
2019-10,4
2019-11,4
2019-12,5
2020-01,6
2020-02,5
2020-03,43
2020-04,100
2020-05,71
2020-06,59
2020-07,58
2020-08,53
2020-09,43
2020-10,34
2020-11,28
2020-12,33
