Catégorie : Toutes catégories

Mois,inflation: (États-Unis)
2004-01,81
2004-02,84
2004-03,68
2004-04,84
2004-05,86
2004-06,75
2004-07,78
2004-08,84
2004-09,77
2004-10,92
2004-11,80
2004-12,75
2005-01,78
2005-02,85
2005-03,97
2005-04,98
2005-05,83
2005-06,58
2005-07,68
2005-08,67
2005-09,71
2005-10,87
2005-11,100
2005-12,74
2006-01,69
2006-02,78
2006-03,78
2006-04,88
2006-05,91
2006-06,77
2006-07,65
2006-08,62
2006-09,65
2006-10,74
2006-11,83
2006-12,68
2007-01,64
2007-02,71
2007-03,67
2007-04,69
2007-05,68
2007-06,59
2007-07,64
2007-08,55
2007-09,72
2007-10,79
2007-11,88
2007-12,75
2008-01,87
2008-02,87
2008-03,96
2008-04,99
2008-05,89
2008-06,89
2008-07,80
2008-08,71
2008-09,84
2008-10,97
2008-11,88
2008-12,74
2009-01,69
2009-02,90
2009-03,85
2009-04,81
2009-05,73
2009-06,71
2009-07,61
2009-08,53
2009-09,66
2009-10,74
2009-11,72
2009-12,61
2010-01,67
2010-02,64
2010-03,70
2010-04,72
2010-05,69
2010-06,56
2010-07,49
2010-08,46
2010-09,60
2010-10,69
2010-11,83
2010-12,66
2011-01,72
2011-02,88
2011-03,71
2011-04,90
2011-05,72
2011-06,58
2011-07,56
2011-08,58
2011-09,66
2011-10,69
2011-11,65
2011-12,61
2012-01,58
2012-02,68
2012-03,69
2012-04,68
2012-05,65
2012-06,53
2012-07,48
2012-08,44
2012-09,61
2012-10,68
2012-11,61
2012-12,56
2013-01,59
2013-02,66
2013-03,69
2013-04,74
2013-05,67
2013-06,50
2013-07,50
2013-08,51
2013-09,62
2013-10,68
2013-11,72
2013-12,70
2014-01,66
2014-02,71
2014-03,78
2014-04,78
2014-05,78
2014-06,56
2014-07,56
2014-08,52
2014-09,66
2014-10,75
2014-11,75
2014-12,71
2015-01,72
2015-02,77
2015-03,77
2015-04,85
2015-05,74
2015-06,58
2015-07,61
2015-08,56
2015-09,73
2015-10,78
2015-11,76
2015-12,77
2016-01,66
2016-02,76
2016-03,73
2016-04,83
2016-05,70
2016-06,54
2016-07,49
2016-08,47
2016-09,62
2016-10,68
2016-11,73
2016-12,70
2017-01,69
2017-02,77
2017-03,79
2017-04,78
2017-05,73
2017-06,55
2017-07,52
2017-08,48
2017-09,60
2017-10,73
2017-11,77
2017-12,71
2018-01,70
2018-02,88
2018-03,80
2018-04,80
2018-05,77
2018-06,62
2018-07,60
2018-08,61
2018-09,73
2018-10,81
2018-11,77
2018-12,77
2019-01,69
2019-02,80
2019-03,81
2019-04,86
2019-05,78
2019-06,62
2019-07,61
2019-08,58
2019-09,68
2019-10,75
2019-11,78
2019-12,72
2020-01,69
2020-02,80
2020-03,74
2020-04,86
2020-05,76
2020-06,60
2020-07,65
2020-08,67
2020-09,73
2020-10,74
2020-11,69
2020-12,81
