Catégorie : Toutes catégories

Mois,debt: (États-Unis),stocks: (États-Unis),inflation: (États-Unis),portfolio: (États-Unis),housing: (États-Unis)
2004-01,29,38,10,16,73
2004-02,29,31,10,14,74
2004-03,28,28,10,15,80
2004-04,27,28,11,15,83
2004-05,28,23,12,16,80
2004-06,28,23,10,15,80
2004-07,29,23,7,15,80
2004-08,27,23,8,16,78
2004-09,28,25,10,14,73
2004-10,28,24,10,14,68
2004-11,31,28,10,15,65
2004-12,25,33,8,15,65
2005-01,28,29,8,15,74
2005-02,26,32,9,16,76
2005-03,27,29,10,14,79
2005-04,28,26,11,15,86
2005-05,27,24,9,14,80
2005-06,26,24,8,14,82
2005-07,24,25,7,14,82
2005-08,25,26,8,14,84
2005-09,26,27,8,15,86
2005-10,26,26,10,14,75
2005-11,25,28,10,15,70
2005-12,24,29,9,14,64
2006-01,26,34,8,16,76
2006-02,27,33,9,15,76
2006-03,30,31,8,14,81
2006-04,28,31,10,15,83
2006-05,26,29,10,13,81
2006-06,24,22,9,13,78
2006-07,27,22,7,12,82
2006-08,25,23,6,12,80
2006-09,25,23,8,12,74
2006-10,26,27,8,13,70
2006-11,26,25,8,13,65
2006-12,24,26,7,12,61
2007-01,27,28,7,14,73
2007-02,27,31,8,13,72
2007-03,27,28,8,14,79
2007-04,29,26,9,14,80
2007-05,27,24,8,14,77
2007-06,27,23,7,13,75
2007-07,28,26,7,13,80
2007-08,26,25,6,14,82
2007-09,28,25,8,13,71
2007-10,30,29,9,14,71
2007-11,30,28,9,14,67
2007-12,27,27,8,13,60
2008-01,33,33,9,14,77
2008-02,32,29,10,13,73
2008-03,32,29,11,13,80
2008-04,31,28,12,14,85
2008-05,28,26,10,14,78
2008-06,29,23,10,12,76
2008-07,31,25,9,12,83
2008-08,29,19,8,11,77
2008-09,38,34,9,13,74
2008-10,41,53,11,14,69
2008-11,36,34,9,14,61
2008-12,33,28,8,13,59
2009-01,36,27,7,13,70
2009-02,39,28,10,13,78
2009-03,37,36,10,13,80
2009-04,35,29,9,13,74
2009-05,32,26,8,13,71
2009-06,33,24,8,12,70
2009-07,33,21,7,11,74
2009-08,33,23,6,11,69
2009-09,32,25,8,12,67
2009-10,34,25,9,12,59
2009-11,33,24,8,13,59
2009-12,29,23,8,12,53
2010-01,34,25,8,13,64
2010-02,38,24,8,13,65
2010-03,35,26,8,13,69
2010-04,34,25,9,14,72
2010-05,33,22,8,13,65
2010-06,30,18,6,12,66
2010-07,27,16,5,10,63
2010-08,27,16,6,10,65
2010-09,26,18,6,11,57
2010-10,27,21,8,12,52
2010-11,28,21,10,12,51
2010-12,24,21,8,11,48
2011-01,30,28,8,13,64
2011-02,30,27,9,13,63
2011-03,29,27,9,12,66
2011-04,33,24,10,13,69
2011-05,28,22,8,13,67
2011-06,30,18,7,11,67
2011-07,70,19,6,11,67
2011-08,53,28,7,12,70
2011-09,42,21,7,13,59
2011-10,34,23,8,12,57
2011-11,32,20,7,12,55
2011-12,29,20,7,11,52
2012-01,33,22,7,12,63
2012-02,31,25,8,12,61
2012-03,27,22,8,12,63
2012-04,29,20,8,12,68
2012-05,27,21,8,12,66
2012-06,25,17,6,11,64
2012-07,25,16,5,10,66
2012-08,26,16,5,11,66
2012-09,32,18,8,11,57
2012-10,32,18,8,11,53
2012-11,32,19,7,11,51
2012-12,24,18,6,10,46
2013-01,32,22,7,11,60
2013-02,28,22,8,11,59
2013-03,26,21,8,12,63
2013-04,26,20,9,12,67
2013-05,23,20,7,12,64
2013-06,20,17,6,10,61
2013-07,22,17,6,10,65
2013-08,21,17,6,10,65
2013-09,25,21,7,10,57
2013-10,47,23,8,11,55
2013-11,23,23,8,11,50
2013-12,21,22,8,10,49
2014-01,24,28,7,11,61
2014-02,28,28,8,11,62
2014-03,24,27,8,11,63
2014-04,25,23,9,12,71
2014-05,23,20,9,12,66
2014-06,21,18,7,10,65
2014-07,23,18,6,10,68
2014-08,22,17,6,10,66
2014-09,23,20,7,11,59
2014-10,24,22,9,11,58
2014-11,23,21,8,11,50
2014-12,22,25,8,11,50
2015-01,24,25,8,11,62
2015-02,26,24,9,12,61
2015-03,24,22,9,12,66
2015-04,25,22,9,12,72
2015-05,22,19,9,11,67
2015-06,25,17,7,10,67
2015-07,27,20,7,10,70
2015-08,23,24,6,11,69
2015-09,26,21,8,11,59
2015-10,27,21,9,11,57
2015-11,24,20,9,11,54
2015-12,23,20,9,10,51
2016-01,26,26,7,11,62
2016-02,40,24,9,11,66
2016-03,29,22,8,11,69
2016-04,30,23,9,12,73
2016-05,27,20,8,11,67
2016-06,26,20,6,9,66
2016-07,25,19,6,9,66
2016-08,24,18,5,10,68
2016-09,27,19,7,10,60
2016-10,29,19,8,10,57
2016-11,29,29,8,11,55
2016-12,24,25,8,10,52
2017-01,30,29,8,11,65
2017-02,31,29,9,12,66
2017-03,29,29,9,12,68
2017-04,28,25,9,12,70
2017-05,26,24,8,11,70
2017-06,24,24,6,10,67
2017-07,24,23,6,10,67
2017-08,26,23,6,10,67
2017-09,27,22,7,10,60
2017-10,28,30,8,12,60
2017-11,26,29,9,12,57
2017-12,26,34,8,11,53
2018-01,27,39,8,12,64
2018-02,31,40,10,12,65
2018-03,28,31,9,12,67
2018-04,29,27,9,12,67
2018-05,25,24,8,11,68
2018-06,25,24,7,10,66
2018-07,25,24,7,10,70
2018-08,25,26,7,10,72
2018-09,27,30,8,10,59
2018-10,30,32,9,11,60
2018-11,28,26,9,11,58
2018-12,25,30,8,10,52
2019-01,30,30,8,11,66
2019-02,32,29,9,11,64
2019-03,29,28,9,11,69
2019-04,29,27,10,12,71
2019-05,27,25,9,11,67
2019-06,27,23,7,10,66
2019-07,28,23,7,9,68
2019-08,28,26,7,10,70
2019-09,27,22,8,11,60
2019-10,29,23,9,11,59
2019-11,27,25,9,11,55
2019-12,26,25,8,10,52
2020-01,31,34,8,11,65
2020-02,33,43,9,12,65
2020-03,31,100,8,11,61
2020-04,31,75,10,11,58
2020-05,27,57,9,11,57
2020-06,24,64,7,10,61
2020-07,26,52,7,10,66
2020-08,25,50,7,11,64
2020-09,27,43,9,11,54
2020-10,27,38,9,10,55
2020-11,26,45,8,9,48
2020-12,27,56,9,11,53
