Catégorie : Toutes catégories

Mois,return: (États-Unis),bonds: (États-Unis),economics: (États-Unis),religion: (États-Unis),money: (États-Unis)
2004-01,24,8,8,12,42
2004-02,20,7,9,14,41
2004-03,21,8,8,14,41
2004-04,20,9,8,15,40
2004-05,16,9,8,14,41
2004-06,15,8,6,9,39
2004-07,14,8,6,8,40
2004-08,13,7,6,8,37
2004-09,13,8,8,14,38
2004-10,13,8,8,16,38
2004-11,15,8,9,15,41
2004-12,15,8,7,14,39
2005-01,16,8,7,12,43
2005-02,20,9,8,13,41
2005-03,17,8,7,13,39
2005-04,19,7,7,15,41
2005-05,15,8,6,13,42
2005-06,13,6,5,9,42
2005-07,12,7,5,8,42
2005-08,12,6,5,8,40
2005-09,11,7,7,12,41
2005-10,11,7,7,14,42
2005-11,12,7,7,14,42
2005-12,13,7,6,12,41
2006-01,15,7,6,11,45
2006-02,17,7,7,12,44
2006-03,16,9,6,12,45
2006-04,17,8,6,12,46
2006-05,12,10,6,11,45
2006-06,11,6,4,7,42
2006-07,11,7,4,7,44
2006-08,11,6,4,7,43
2006-09,11,6,6,11,43
2006-10,12,6,7,12,45
2006-11,11,6,6,12,46
2006-12,12,6,5,11,45
2007-01,14,6,5,9,45
2007-02,17,6,5,10,45
2007-03,16,6,5,10,47
2007-04,18,6,5,10,46
2007-05,12,7,5,10,45
2007-06,12,7,4,7,46
2007-07,11,9,4,7,48
2007-08,12,13,4,7,49
2007-09,11,8,6,11,48
2007-10,12,6,6,12,50
2007-11,12,7,6,11,49
2007-12,13,6,5,11,50
2008-01,16,6,6,11,54
2008-02,19,6,5,12,51
2008-03,19,7,5,10,52
2008-04,21,6,6,11,53
2008-05,13,6,5,10,52
2008-06,11,5,4,7,50
2008-07,11,6,4,6,56
2008-08,12,5,4,7,50
2008-09,11,7,6,11,60
2008-10,13,8,6,12,62
2008-11,12,7,6,13,56
2008-12,13,7,5,11,55
2009-01,17,6,6,10,57
2009-02,21,7,6,11,59
2009-03,19,7,5,11,60
2009-04,18,7,5,11,55
2009-05,13,6,5,10,55
2009-06,13,6,4,8,54
2009-07,12,6,3,7,55
2009-08,12,5,4,8,53
2009-09,13,6,5,11,51
2009-10,13,6,6,12,53
2009-11,13,6,5,12,54
2009-12,14,6,4,10,56
2010-01,19,6,5,10,59
2010-02,21,6,5,10,55
2010-03,19,6,5,11,55
2010-04,20,6,5,11,53
2010-05,13,5,5,10,54
2010-06,13,5,3,7,51
2010-07,12,4,3,6,51
2010-08,13,5,3,8,50
2010-09,13,5,5,11,51
2010-10,13,5,5,11,50
2010-11,15,6,5,11,53
2010-12,16,5,4,10,53
2011-01,22,6,5,10,62
2011-02,24,6,5,10,59
2011-03,22,6,4,10,58
2011-04,22,7,5,11,59
2011-05,16,5,4,10,57
2011-06,14,5,3,8,58
2011-07,14,6,3,7,61
2011-08,14,5,4,8,61
2011-09,16,6,5,10,58
2011-10,16,6,5,11,58
2011-11,17,6,5,11,57
2011-12,19,6,4,11,58
2012-01,24,6,5,11,60
2012-02,25,6,5,11,59
2012-03,20,5,4,10,57
2012-04,23,6,5,10,57
2012-05,16,5,4,10,58
2012-06,15,5,3,8,56
2012-07,16,5,3,8,61
2012-08,17,5,3,10,58
2012-09,19,6,5,12,57
2012-10,18,6,5,11,54
2012-11,18,6,4,11,55
2012-12,20,5,4,11,52
2013-01,24,5,4,9,59
2013-02,30,6,5,10,56
2013-03,25,5,4,10,55
2013-04,24,5,4,11,56
2013-05,18,5,4,9,56
2013-06,17,4,3,7,57
2013-07,17,5,2,7,59
2013-08,17,5,3,7,56
2013-09,18,6,5,10,60
2013-10,20,6,5,10,61
2013-11,19,5,4,10,57
2013-12,22,5,4,10,59
2014-01,26,5,4,9,64
2014-02,31,6,4,10,61
2014-03,24,5,4,9,60
2014-04,24,5,4,10,61
2014-05,20,5,4,9,61
2014-06,18,4,3,7,60
2014-07,18,4,2,7,62
2014-08,19,4,3,8,61
2014-09,20,6,5,10,57
2014-10,23,6,5,11,59
2014-11,21,5,4,10,57
2014-12,24,6,4,10,62
2015-01,27,5,4,9,64
2015-02,29,6,5,10,63
2015-03,26,5,5,10,63
2015-04,25,5,5,10,64
2015-05,20,5,4,9,64
2015-06,19,4,3,7,63
2015-07,19,5,2,7,66
2015-08,19,4,3,7,63
2015-09,22,6,5,12,60
2015-10,23,6,5,11,58
2015-11,23,5,4,11,57
2015-12,27,6,4,12,63
2016-01,30,6,4,9,68
2016-02,34,6,5,10,64
2016-03,26,6,4,10,63
2016-04,27,6,4,9,66
2016-05,22,5,4,9,69
2016-06,20,5,3,7,64
2016-07,19,4,2,7,62
2016-08,19,4,3,7,59
2016-09,22,6,5,10,61
2016-10,23,6,5,10,59
2016-11,23,6,4,10,59
2016-12,24,5,4,10,62
2017-01,32,6,5,10,68
2017-02,33,6,5,10,65
2017-03,30,6,5,9,62
2017-04,29,6,5,9,63
2017-05,24,5,4,9,63
2017-06,21,4,2,7,66
2017-07,21,4,2,6,66
2017-08,21,5,3,7,63
2017-09,22,6,5,9,65
2017-10,23,6,5,9,62
2017-11,23,6,4,10,63
2017-12,26,5,4,9,71
2018-01,29,6,4,8,75
2018-02,35,6,5,9,73
2018-03,28,5,4,8,67
2018-04,28,5,4,8,65
2018-05,22,5,4,8,65
2018-06,21,4,2,6,64
2018-07,21,4,2,6,66
2018-08,21,5,3,7,63
2018-09,22,6,5,9,62
2018-10,22,6,4,9,63
2018-11,23,6,4,9,63
2018-12,25,5,3,9,67
2019-01,31,5,4,8,72
2019-02,35,5,4,8,68
2019-03,27,5,4,8,66
2019-04,28,5,4,9,67
2019-05,21,5,3,8,66
2019-06,21,4,2,6,65
2019-07,21,4,2,6,68
2019-08,21,4,3,7,66
2019-09,21,6,4,9,69
2019-10,23,5,4,9,63
2019-11,23,5,3,9,62
2019-12,26,5,3,9,66
2020-01,31,5,4,8,71
2020-02,37,6,4,9,73
2020-03,28,5,3,7,80
2020-04,31,5,3,8,100
2020-05,28,5,3,7,81
2020-06,28,4,2,6,71
2020-07,28,4,2,6,74
2020-08,25,4,3,7,71
2020-09,24,6,5,10,69
2020-10,25,6,4,9,69
2020-11,22,5,2,8,64
2020-12,26,6,3,8,72
