Catégorie : Toutes catégories

Mois,buy: (États-Unis),hold: (États-Unis),headlines: (États-Unis),present: (États-Unis),crisis: (États-Unis)
2004-01,51,6,1,2,3
2004-02,47,5,1,2,3
2004-03,46,4,1,2,3
2004-04,45,4,1,2,3
2004-05,47,4,1,2,3
2004-06,51,5,1,2,3
2004-07,52,6,1,2,2
2004-08,53,5,1,2,2
2004-09,51,5,1,3,3
2004-10,47,5,1,2,3
2004-11,59,5,1,3,3
2004-12,68,6,1,3,3
2005-01,51,5,1,2,2
2005-02,47,5,1,2,3
2005-03,44,6,1,2,3
2005-04,44,5,1,2,3
2005-05,46,5,1,2,3
2005-06,49,6,1,2,2
2005-07,53,6,1,2,2
2005-08,50,6,< 1,2,2
2005-09,48,5,1,2,2
2005-10,48,5,1,2,3
2005-11,60,5,1,3,3
2005-12,72,5,1,3,2
2006-01,52,5,1,2,2
2006-02,47,4,1,2,3
2006-03,46,4,1,2,3
2006-04,46,5,1,2,3
2006-05,46,4,1,2,3
2006-06,47,4,< 1,2,2
2006-07,50,4,1,1,2
2006-08,51,5,1,2,2
2006-09,48,4,1,2,2
2006-10,47,4,1,2,2
2006-11,64,4,1,2,2
2006-12,74,4,1,3,2
2007-01,52,4,1,2,2
2007-02,50,5,1,2,2
2007-03,48,4,1,2,2
2007-04,49,4,1,2,3
2007-05,52,5,1,2,2
2007-06,55,5,1,2,2
2007-07,55,5,1,1,2
2007-08,54,5,1,1,2
2007-09,55,5,1,2,2
2007-10,53,5,1,2,3
2007-11,71,5,1,3,3
2007-12,81,4,1,3,3
2008-01,58,4,1,2,2
2008-02,53,5,1,2,3
2008-03,54,4,1,2,4
2008-04,52,5,1,2,5
2008-05,57,5,1,2,4
2008-06,59,4,1,2,3
2008-07,60,5,1,2,3
2008-08,59,5,1,2,2
2008-09,55,5,1,2,5
2008-10,55,5,1,2,6
2008-11,73,5,1,3,4
2008-12,88,5,1,3,4
2009-01,64,5,1,2,4
2009-02,59,5,1,2,4
2009-03,57,5,1,2,4
2009-04,54,5,1,2,4
2009-05,56,5,1,2,3
2009-06,62,5,1,2,3
2009-07,59,6,< 1,2,2
2009-08,62,6,< 1,2,2
