Catégorie : Toutes catégories

Mois,profit: (États-Unis)
2004-01,76
2004-02,84
2004-03,70
2004-04,79
2004-05,74
2004-06,81
2004-07,81
2004-08,86
2004-09,88
2004-10,87
2004-11,89
2004-12,77
2005-01,84
2005-02,86
2005-03,97
2005-04,85
2005-05,80
2005-06,77
2005-07,79
2005-08,82
2005-09,81
2005-10,85
2005-11,85
2005-12,75
2006-01,83
2006-02,86
2006-03,74
2006-04,82
2006-05,77
2006-06,69
2006-07,73
2006-08,70
2006-09,77
2006-10,73
2006-11,75
2006-12,64
2007-01,71
2007-02,83
2007-03,78
2007-04,82
2007-05,76
2007-06,78
2007-07,76
2007-08,71
2007-09,78
2007-10,90
2007-11,84
2007-12,67
2008-01,85
2008-02,88
2008-03,82
2008-04,92
2008-05,83
2008-06,79
2008-07,75
2008-08,78
2008-09,87
2008-10,85
2008-11,81
2008-12,73
2009-01,78
2009-02,91
2009-03,92
2009-04,94
2009-05,89
2009-06,89
2009-07,86
2009-08,82
2009-09,86
2009-10,97
2009-11,94
2009-12,83
2010-01,90
2010-02,97
2010-03,94
2010-04,96
2010-05,92
2010-06,86
2010-07,75
2010-08,82
2010-09,84
2010-10,90
2010-11,85
2010-12,72
2011-01,93
2011-02,93
2011-03,98
2011-04,96
2011-05,90
2011-06,83
2011-07,82
2011-08,80
2011-09,87
2011-10,90
2011-11,84
2011-12,72
2012-01,83
2012-02,91
2012-03,87
2012-04,88
2012-05,78
2012-06,75
2012-07,75
2012-08,76
2012-09,86
2012-10,87
2012-11,86
2012-12,73
2013-01,82
2013-02,90
2013-03,86
2013-04,96
2013-05,81
2013-06,72
2013-07,77
2013-08,82
2013-09,88
2013-10,99
2013-11,86
2013-12,76
2014-01,86
2014-02,97
2014-03,94
2014-04,100
2014-05,81
2014-06,77
2014-07,77
2014-08,75
2014-09,89
2014-10,96
2014-11,93
2014-12,84
2015-01,84
2015-02,90
2015-03,88
2015-04,93
2015-05,87
2015-06,84
2015-07,83
2015-08,76
2015-09,92
2015-10,94
2015-11,94
2015-12,81
2016-01,89
2016-02,99
2016-03,91
2016-04,93
2016-05,80
2016-06,74
2016-07,68
2016-08,79
2016-09,91
2016-10,93
2016-11,90
2016-12,80
2017-01,89
2017-02,97
2017-03,95
2017-04,97
2017-05,84
2017-06,79
2017-07,75
2017-08,75
2017-09,84
2017-10,92
2017-11,89
2017-12,80
2018-01,90
2018-02,98
2018-03,86
2018-04,89
2018-05,79
2018-06,77
2018-07,76
2018-08,73
2018-09,81
2018-10,88
2018-11,81
2018-12,75
2019-01,85
2019-02,92
2019-03,84
2019-04,87
2019-05,73
2019-06,71
2019-07,69
2019-08,70
2019-09,81
2019-10,85
2019-11,80
2019-12,70
2020-01,80
2020-02,87
2020-03,74
2020-04,83
2020-05,73
2020-06,72
2020-07,72
2020-08,70
2020-09,85
2020-10,81
2020-11,68
2020-12,78
