Catégorie : Toutes catégories

Mois,economy: (États-Unis)
2004-01,67
2004-02,67
2004-03,76
2004-04,83
2004-05,76
2004-06,48
2004-07,36
2004-08,41
2004-09,68
2004-10,78
2004-11,79
2004-12,60
2005-01,53
2005-02,66
2005-03,69
2005-04,73
2005-05,69
2005-06,41
2005-07,37
2005-08,43
2005-09,65
2005-10,58
2005-11,63
2005-12,50
2006-01,45
2006-02,54
2006-03,55
2006-04,70
2006-05,66
2006-06,38
2006-07,36
2006-08,35
2006-09,49
2006-10,53
2006-11,53
2006-12,43
2007-01,44
2007-02,46
2007-03,47
2007-04,55
2007-05,55
2007-06,39
2007-07,32
2007-08,33
2007-09,51
2007-10,53
2007-11,58
2007-12,48
2008-01,63
2008-02,63
2008-03,70
2008-04,75
2008-05,79
2008-06,57
2008-07,48
2008-08,43
2008-09,84
2008-10,100
2008-11,79
2008-12,66
2009-01,70
2009-02,86
2009-03,83
2009-04,71
2009-05,65
2009-06,50
2009-07,44
2009-08,43
2009-09,55
2009-10,56
2009-11,57
2009-12,52
2010-01,49
2010-02,54
2010-03,55
2010-04,58
2010-05,59
2010-06,38
2010-07,34
2010-08,36
2010-09,49
2010-10,50
2010-11,52
2010-12,41
2011-01,47
2011-02,55
2011-03,57
2011-04,60
2011-05,57
2011-06,47
2011-07,38
2011-08,47
2011-09,57
2011-10,57
2011-11,55
2011-12,46
2012-01,50
2012-02,55
2012-03,52
2012-04,55
2012-05,54
2012-06,41
2012-07,36
2012-08,38
2012-09,58
2012-10,61
2012-11,58
2012-12,44
2013-01,45
2013-02,51
2013-03,51
2013-04,54
2013-05,51
2013-06,36
2013-07,33
2013-08,35
2013-09,54
2013-10,56
2013-11,48
2013-12,42
2014-01,45
2014-02,52
2014-03,52
2014-04,53
2014-05,52
2014-06,37
2014-07,34
2014-08,36
2014-09,54
2014-10,55
2014-11,50
2014-12,50
2015-01,51
2015-02,54
2015-03,53
2015-04,54
2015-05,52
2015-06,38
2015-07,38
2015-08,43
2015-09,60
2015-10,57
2015-11,54
2015-12,48
2016-01,56
2016-02,61
2016-03,57
2016-04,59
2016-05,56
2016-06,43
2016-07,34
2016-08,38
2016-09,55
2016-10,56
2016-11,59
2016-12,47
2017-01,53
2017-02,59
2017-03,56
2017-04,56
2017-05,54
2017-06,37
2017-07,34
2017-08,39
2017-09,54
2017-10,56
2017-11,54
2017-12,49
2018-01,51
2018-02,58
2018-03,54
2018-04,57
2018-05,56
2018-06,41
2018-07,40
2018-08,47
2018-09,62
2018-10,61
2018-11,54
2018-12,50
2019-01,55
2019-02,58
2019-03,57
2019-04,60
2019-05,59
2019-06,43
2019-07,40
2019-08,47
2019-09,61
2019-10,58
2019-11,51
2019-12,50
2020-01,54
2020-02,62
2020-03,73
2020-04,81
2020-05,55
2020-06,38
2020-07,36
2020-08,42
2020-09,60
2020-10,56
2020-11,45
2020-12,48
